mode,requested_bytes,actual_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
random,4194304,4194304,524288,1000000,64,64000000,51.798450687,51.562500000,5.924435268,49.375000000,53.843750000,46.187500000,57.218750000,37.531250000,889.812500000,11093,12345,artemisia_capacity_coarse_4194304_random_raw.csv
random,131072,131072,16384,1000000,64,64000000,14.315913906,13.625000000,2.906931004,13.156250000,14.312500000,12.375000000,18.625000000,11.250000000,672.718750000,175382,12345,artemisia_capacity_coarse_131072_random_raw.csv
random,16384,16384,2048,1000000,64,64000000,6.314392937,6.218750000,1.420304862,6.187500000,6.281250000,6.125000000,6.343750000,5.968750000,384.125000000,26884,12345,artemisia_capacity_coarse_16384_random_raw.csv
random,67108864,67108864,8388608,1000000,64,64000000,226.995458281,219.593750000,43.795773172,199.281250000,257.562500000,179.906250000,282.218750000,135.031250000,25785.406250000,3666,12345,artemisia_capacity_coarse_67108864_random_raw.csv
random,8192,8192,1024,1000000,64,64000000,6.400537125,6.218750000,1.779582900,6.187500000,6.281250000,6.125000000,6.375000000,5.968750000,459.937500000,43937,12345,artemisia_capacity_coarse_8192_random_raw.csv
random,262144,262144,32768,1000000,64,64000000,15.511960719,15.375000000,2.404634770,15.031250000,15.718750000,14.531250000,16.343750000,13.531250000,645.375000000,30041,12345,artemisia_capacity_coarse_262144_random_raw.csv
random,16777216,16777216,2097152,1000000,64,64000000,87.939497563,83.437500000,12.863972247,79.937500000,92.656250000,76.468750000,111.656250000,66.125000000,1032.593750000,49574,12345,artemisia_capacity_coarse_16777216_random_raw.csv
random,524288,524288,65536,1000000,64,64000000,18.212730500,18.093750000,11.330428055,17.718750000,18.500000000,17.187500000,19.125000000,15.500000000,10841.312500000,14136,12345,artemisia_capacity_coarse_524288_random_raw.csv
random,33554432,33554432,4194304,1000000,64,64000000,137.296697969,113.718750000,49.930557170,102.968750000,154.750000000,94.375000000,245.750000000,79.593750000,1490.625000000,98042,12345,artemisia_capacity_coarse_33554432_random_raw.csv
random,2097152,2097152,262144,1000000,64,64000000,27.890739375,27.656250000,11.494696594,26.343750000,29.031250000,24.625000000,31.406250000,21.718750000,10780.656250000,15035,12345,artemisia_capacity_coarse_2097152_random_raw.csv
random,4096,4096,512,1000000,64,64000000,6.433864531,6.218750000,1.729210225,6.187500000,6.281250000,6.125000000,6.406250000,6.000000000,622.468750000,48207,12345,artemisia_capacity_coarse_4096_random_raw.csv
random,8388608,8388608,1048576,1000000,64,64000000,66.195069344,65.968750000,6.453576259,63.968750000,68.000000000,60.937500000,71.031250000,50.375000000,1566.656250000,12784,12345,artemisia_capacity_coarse_8388608_random_raw.csv
random,65536,65536,8192,1000000,64,64000000,9.711417094,9.531250000,2.179857666,9.093750000,10.062500000,8.468750000,11.000000000,7.250000000,427.062500000,38634,12345,artemisia_capacity_coarse_65536_random_raw.csv
random,32768,32768,4096,1000000,64,64000000,6.421624531,6.218750000,1.786209936,6.187500000,6.281250000,6.125000000,6.781250000,5.968750000,401.437500000,57645,12345,artemisia_capacity_coarse_32768_random_raw.csv
random,1048576,1048576,131072,1000000,64,64000000,21.251206375,21.187500000,2.700332447,20.812500000,21.500000000,20.312500000,22.031250000,19.062500000,620.156250000,16128,12345,artemisia_capacity_coarse_1048576_random_raw.csv
