set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
131072,1,1000000,128,128000000,6.089280641,5.656250000,126.204093771,5.625000000,5.671875000,5.593750000,5.718750000,5.484375000,46971.156250000,39058,12345,artemisia_l3_assoc_setstride131072_ways1_raw.csv
131072,2,1000000,128,128000000,5.953077281,5.656250000,1.443068023,5.625000000,5.703125000,5.593750000,8.156250000,5.484375000,214.375000000,128545,12345,artemisia_l3_assoc_setstride131072_ways2_raw.csv
131072,3,1000000,128,128000000,6.387725906,5.703125000,1.742779574,5.656250000,6.484375000,5.609375000,9.562500000,5.500000000,299.312500000,152451,12345,artemisia_l3_assoc_setstride131072_ways3_raw.csv
131072,4,1000000,128,128000000,6.354459687,5.703125000,1.747131570,5.656250000,6.468750000,5.609375000,9.484375000,5.500000000,337.000000000,146103,12345,artemisia_l3_assoc_setstride131072_ways4_raw.csv
131072,5,1000000,128,128000000,6.358257141,5.703125000,1.764863751,5.656250000,6.468750000,5.609375000,9.484375000,5.500000000,293.625000000,147557,12345,artemisia_l3_assoc_setstride131072_ways5_raw.csv
131072,6,1000000,128,128000000,8.632293031,8.390625000,2.358845910,8.250000000,8.562500000,8.031250000,10.484375000,7.578125000,1758.156250000,92398,12345,artemisia_l3_assoc_setstride131072_ways6_raw.csv
131072,7,1000000,128,128000000,10.095238063,9.875000000,1.630146523,9.750000000,9.984375000,9.531250000,11.937500000,9.140625000,240.953125000,105107,12345,artemisia_l3_assoc_setstride131072_ways7_raw.csv
131072,8,1000000,128,128000000,10.576652297,10.312500000,1.681339052,10.265625000,10.406250000,10.171875000,12.234375000,9.875000000,345.046875000,129111,12345,artemisia_l3_assoc_setstride131072_ways8_raw.csv
131072,9,1000000,128,128000000,10.827605719,10.609375000,2.294692628,10.531250000,10.687500000,10.453125000,12.187500000,9.937500000,1619.062500000,97513,12345,artemisia_l3_assoc_setstride131072_ways9_raw.csv
131072,10,1000000,128,128000000,11.041015078,10.828125000,1.642202409,10.781250000,10.890625000,10.734375000,12.359375000,10.453125000,278.953125000,113059,12345,artemisia_l3_assoc_setstride131072_ways10_raw.csv
131072,11,1000000,128,128000000,11.208612609,10.984375000,1.611490058,10.953125000,11.046875000,10.906250000,12.312500000,10.781250000,297.656250000,127556,12345,artemisia_l3_assoc_setstride131072_ways11_raw.csv
131072,12,1000000,128,128000000,11.363264359,11.156250000,1.593829621,11.125000000,11.218750000,11.078125000,12.187500000,10.937500000,237.406250000,130104,12345,artemisia_l3_assoc_setstride131072_ways12_raw.csv
131072,13,1000000,128,128000000,22.448265531,22.359375000,2.013126001,22.312500000,22.406250000,22.250000000,22.500000000,16.546875000,365.250000000,29687,12345,artemisia_l3_assoc_setstride131072_ways13_raw.csv
131072,14,1000000,128,128000000,22.558174047,22.390625000,2.020988383,22.328125000,22.484375000,22.265625000,23.171875000,20.921875000,298.812500000,132735,12345,artemisia_l3_assoc_setstride131072_ways14_raw.csv
131072,15,1000000,128,128000000,23.255666219,23.140625000,2.071649453,22.984375000,23.296875000,22.781250000,23.593750000,21.531250000,321.531250000,29189,12345,artemisia_l3_assoc_setstride131072_ways15_raw.csv
131072,16,1000000,128,128000000,23.333741859,23.218750000,2.084008816,23.062500000,23.390625000,22.859375000,23.703125000,21.578125000,355.968750000,28226,12345,artemisia_l3_assoc_setstride131072_ways16_raw.csv
131072,17,1000000,128,128000000,23.366122531,23.281250000,2.121400307,23.093750000,23.453125000,22.671875000,23.781250000,21.843750000,309.671875000,24066,12345,artemisia_l3_assoc_setstride131072_ways17_raw.csv
131072,18,1000000,128,128000000,22.779681812,22.671875000,2.585081319,22.625000000,22.718750000,22.578125000,22.859375000,22.015625000,1625.484375000,45125,12345,artemisia_l3_assoc_setstride131072_ways18_raw.csv
131072,19,1000000,128,128000000,22.997962516,22.734375000,2.198039304,22.671875000,22.859375000,22.593750000,23.812500000,21.406250000,332.578125000,188986,12345,artemisia_l3_assoc_setstride131072_ways19_raw.csv
