stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8,1024,1024,128,1000000,128,128000000,5.730192438,5.656250000,1.283739592,5.625000000,5.671875000,5.593750000,5.734375000,5.484375000,647.296875000,42104,12345,artemisia_line_coarse_stride8_footprint1024_raw.csv
8,2048,2048,256,1000000,128,128000000,5.866770953,5.656250000,1.213427929,5.625000000,5.687500000,5.593750000,7.453125000,5.500000000,189.734375000,73919,12345,artemisia_line_coarse_stride8_footprint2048_raw.csv
8,4096,4096,512,1000000,128,128000000,6.311303703,5.703125000,1.609560433,5.656250000,6.437500000,5.609375000,9.390625000,5.500000000,287.125000000,143424,12345,artemisia_line_coarse_stride8_footprint4096_raw.csv
8,8192,8192,1024,1000000,128,128000000,6.297773828,5.703125000,1.560534849,5.656250000,6.421875000,5.609375000,9.359375000,5.500000000,296.390625000,141577,12345,artemisia_line_coarse_stride8_footprint8192_raw.csv
8,16384,16384,2048,1000000,128,128000000,6.312216969,5.703125000,1.577064878,5.656250000,6.437500000,5.609375000,9.390625000,5.500000000,266.671875000,144867,12345,artemisia_line_coarse_stride8_footprint16384_raw.csv
8,32768,32768,4096,1000000,128,128000000,6.322528219,5.703125000,1.630705959,5.656250000,6.437500000,5.609375000,9.406250000,5.500000000,283.906250000,146363,12345,artemisia_line_coarse_stride8_footprint32768_raw.csv
8,65536,65536,8192,1000000,128,128000000,9.376433750,9.156250000,1.526483786,8.828125000,9.531250000,8.437500000,11.296875000,7.546875000,196.718750000,72460,12345,artemisia_line_coarse_stride8_footprint65536_raw.csv
8,131072,131072,16384,1000000,128,128000000,13.157894422,13.015625000,1.589704733,12.734375000,13.375000000,12.296875000,14.062500000,11.750000000,289.937500000,38413,12345,artemisia_line_coarse_stride8_footprint131072_raw.csv
8,262144,262144,32768,1000000,128,128000000,14.972661391,14.875000000,1.583906766,14.625000000,15.140625000,14.312500000,15.593750000,13.718750000,280.296875000,24015,12345,artemisia_line_coarse_stride8_footprint262144_raw.csv
8,524288,524288,65536,1000000,128,128000000,17.757521812,17.671875000,1.754345608,17.406250000,17.968750000,16.953125000,18.406250000,16.218750000,331.937500000,19977,12345,artemisia_line_coarse_stride8_footprint524288_raw.csv
8,1048576,1048576,131072,1000000,128,128000000,21.469196062,21.312500000,2.864138547,20.906250000,21.765625000,20.375000000,22.625000000,19.296875000,1967.531250000,23176,12345,artemisia_line_coarse_stride8_footprint1048576_raw.csv
8,2097152,2097152,262144,1000000,128,128000000,27.486958344,27.265625000,2.924551512,26.218750000,28.390625000,24.859375000,30.203125000,22.062500000,315.765625000,15723,12345,artemisia_line_coarse_stride8_footprint2097152_raw.csv
8,4194304,4194304,524288,1000000,128,128000000,47.025935734,46.828125000,3.803707353,45.265625000,48.437500000,43.078125000,50.859375000,36.031250000,345.875000000,13383,12345,artemisia_line_coarse_stride8_footprint4194304_raw.csv
16,1024,1024,64,1000000,128,128000000,6.320029266,5.703125000,1.556934413,5.656250000,6.453125000,5.625000000,9.390625000,5.484375000,165.718750000,143859,12345,artemisia_line_coarse_stride16_footprint1024_raw.csv
16,2048,2048,128,1000000,128,128000000,6.336209797,5.703125000,2.555213473,5.656250000,6.453125000,5.625000000,9.437500000,5.500000000,1987.625000000,145657,12345,artemisia_line_coarse_stride16_footprint2048_raw.csv
16,4096,4096,256,1000000,128,128000000,6.535695375,5.796875000,1.864634524,5.687500000,6.593750000,5.625000000,9.828125000,5.515625000,725.015625000,165311,12345,artemisia_line_coarse_stride16_footprint4096_raw.csv
16,8192,8192,512,1000000,128,128000000,6.570441312,5.828125000,1.759534165,5.687500000,6.625000000,5.625000000,9.921875000,5.500000000,290.031250000,166401,12345,artemisia_line_coarse_stride16_footprint8192_raw.csv
16,16384,16384,1024,1000000,128,128000000,6.300911625,5.703125000,1.712691590,5.656250000,6.421875000,5.609375000,9.375000000,5.515625000,581.500000000,142212,12345,artemisia_line_coarse_stride16_footprint16384_raw.csv
16,32768,32768,2048,1000000,128,128000000,6.317257062,5.703125000,1.651573258,5.656250000,6.421875000,5.609375000,9.406250000,5.515625000,454.171875000,146875,12345,artemisia_line_coarse_stride16_footprint32768_raw.csv
16,65536,65536,4096,1000000,128,128000000,9.813480172,9.687500000,1.585290851,9.390625000,10.000000000,8.765625000,11.062500000,7.828125000,489.593750000,64027,12345,artemisia_line_coarse_stride16_footprint65536_raw.csv
16,131072,131072,8192,1000000,128,128000000,13.529841109,13.437500000,1.637666648,13.171875000,13.765625000,12.546875000,14.359375000,12.109375000,475.671875000,26075,12345,artemisia_line_coarse_stride16_footprint131072_raw.csv
16,262144,262144,16384,1000000,128,128000000,15.158730547,15.109375000,1.694821478,14.843750000,15.312500000,14.421875000,15.796875000,13.578125000,436.000000000,33205,12345,artemisia_line_coarse_stride16_footprint262144_raw.csv
16,524288,524288,32768,1000000,128,128000000,18.010378500,17.843750000,2.518022405,17.578125000,18.171875000,17.218750000,19.093750000,16.125000000,1231.156250000,55513,12345,artemisia_line_coarse_stride16_footprint524288_raw.csv
16,1048576,1048576,65536,1000000,128,128000000,21.469230672,21.343750000,2.076429523,20.921875000,21.796875000,20.406250000,22.671875000,19.437500000,510.750000000,16820,12345,artemisia_line_coarse_stride16_footprint1048576_raw.csv
16,2097152,2097152,131072,1000000,128,128000000,28.829995813,28.218750000,3.957352974,27.046875000,29.437500000,25.515625000,35.578125000,22.562500000,623.312500000,70079,12345,artemisia_line_coarse_stride16_footprint2097152_raw.csv
16,4194304,4194304,262144,1000000,128,128000000,49.799356781,49.593750000,4.706018939,48.015625000,51.234375000,45.734375000,53.593750000,38.828125000,1994.437500000,13185,12345,artemisia_line_coarse_stride16_footprint4194304_raw.csv
32,1024,1024,32,1000000,128,128000000,6.449213984,5.765625000,1.725063905,5.687500000,6.484375000,5.625000000,9.656250000,5.484375000,294.859375000,164003,12345,artemisia_line_coarse_stride32_footprint1024_raw.csv
