mode,requested_bytes,actual_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
random,4194304,4194304,524288,1000000,64,64000000,35.176070562,34.531250000,12.596378604,33.921875000,35.343750000,33.109375000,37.718750000,30.156250000,1211.593750000,61773,12345,capacity_coarse_4194304_random_raw.csv
random,131072,131072,16384,1000000,64,64000000,10.745060547,10.484375000,9.201274372,10.140625000,10.906250000,9.703125000,11.937500000,8.968750000,1174.562500000,44692,12345,capacity_coarse_131072_random_raw.csv
random,16384,16384,2048,1000000,64,64000000,6.530816031,6.484375000,3.197153800,6.390625000,6.578125000,6.281250000,6.703125000,6.125000000,1129.250000000,12991,12345,capacity_coarse_16384_random_raw.csv
random,67108864,67108864,8388608,1000000,64,64000000,219.542280953,217.578125000,37.809155870,208.921875000,226.250000000,198.343750000,237.531250000,175.687500000,8915.578125000,10412,12345,capacity_coarse_67108864_random_raw.csv
random,8192,8192,1024,1000000,64,64000000,6.477174328,6.421875000,5.022654614,6.359375000,6.500000000,6.265625000,6.578125000,6.109375000,1117.312500000,11013,12345,capacity_coarse_8192_random_raw.csv
random,262144,262144,32768,1000000,64,64000000,15.007886906,14.687500000,10.190590212,13.953125000,15.531250000,12.953125000,17.265625000,10.843750000,1310.203125000,28248,12345,capacity_coarse_262144_random_raw.csv
random,16777216,16777216,2097152,1000000,64,64000000,160.986427078,158.984375000,33.195810897,148.984375000,169.734375000,136.359375000,185.765625000,103.046875000,2281.468750000,9491,12345,capacity_coarse_16777216_random_raw.csv
random,524288,524288,65536,1000000,64,64000000,23.931527656,23.687500000,11.520873192,22.781250000,24.656250000,21.546875000,26.015625000,18.250000000,1339.468750000,6448,12345,capacity_coarse_524288_random_raw.csv
random,33554432,33554432,4194304,1000000,64,64000000,199.662614438,197.765625000,36.081931262,188.265625000,207.218750000,176.796875000,220.546875000,144.343750000,1950.609375000,9750,12345,capacity_coarse_33554432_random_raw.csv
random,2097152,2097152,262144,1000000,64,64000000,33.236255672,32.859375000,16.220311670,32.203125000,33.546875000,31.250000000,34.781250000,28.609375000,3556.109375000,28230,12345,capacity_coarse_2097152_random_raw.csv
random,4096,4096,512,1000000,64,64000000,6.535739234,6.421875000,8.501308437,6.359375000,6.484375000,6.265625000,6.578125000,6.125000000,1174.828125000,15249,12345,capacity_coarse_4096_random_raw.csv
random,8388608,8388608,1048576,1000000,64,64000000,84.569824953,82.656250000,26.050134678,74.609375000,91.875000000,64.921875000,106.515625000,44.453125000,1383.437500000,14096,12345,capacity_coarse_8388608_random_raw.csv
random,65536,65536,8192,1000000,64,64000000,8.919240672,8.765625000,7.227233312,8.562500000,8.984375000,8.250000000,9.328125000,7.718750000,1230.906250000,37607,12345,capacity_coarse_65536_random_raw.csv
random,32768,32768,4096,1000000,64,64000000,6.665561234,6.578125000,4.456500988,6.484375000,6.687500000,6.359375000,6.875000000,6.109375000,1159.093750000,25382,12345,capacity_coarse_32768_random_raw.csv
random,1048576,1048576,131072,1000000,64,64000000,30.081791641,29.859375000,12.564915793,29.062500000,30.625000000,27.906250000,31.718750000,24.796875000,1219.468750000,10202,12345,capacity_coarse_1048576_random_raw.csv
