set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
32768,1,1000000,64,64000000,19.506999656,6.359375000,2276.998947496,6.328125000,6.390625000,6.296875000,6.515625000,6.109375000,515867.812500000,98996,12345,crux_assoc_setstride32768_ways1_raw.csv
32768,2,1000000,64,64000000,20.256257594,6.343750000,2342.313477466,6.328125000,6.359375000,6.296875000,6.390625000,6.109375000,609567.765625000,62570,12345,crux_assoc_setstride32768_ways2_raw.csv
32768,3,1000000,64,64000000,19.623006875,6.343750000,2301.475742273,6.328125000,6.359375000,6.296875000,6.390625000,6.109375000,515843.312500000,52261,12345,crux_assoc_setstride32768_ways3_raw.csv
32768,4,1000000,64,64000000,17.231383313,6.359375000,2031.169363348,6.328125000,6.359375000,6.296875000,6.421875000,6.078125000,515845.234375000,80131,12345,crux_assoc_setstride32768_ways4_raw.csv
32768,5,1000000,64,64000000,20.085554937,6.343750000,2301.379552153,6.328125000,6.359375000,6.296875000,6.406250000,6.109375000,515841.953125000,61853,12345,crux_assoc_setstride32768_ways5_raw.csv
32768,6,1000000,64,64000000,19.418761578,6.343750000,2244.509941035,6.328125000,6.359375000,6.296875000,6.390625000,6.109375000,515866.812500000,50645,12345,crux_assoc_setstride32768_ways6_raw.csv
32768,7,1000000,64,64000000,19.907724922,6.359375000,2301.824406340,6.328125000,6.375000000,6.296875000,6.531250000,6.109375000,515853.328125000,116269,12345,crux_assoc_setstride32768_ways7_raw.csv
32768,8,1000000,64,64000000,19.531140187,6.703125000,2192.595426330,6.671875000,6.906250000,6.640625000,7.093750000,6.296875000,515860.375000000,7303,12345,crux_assoc_setstride32768_ways8_raw.csv
32768,9,1000000,64,64000000,41.925151859,13.953125000,3311.653739020,13.890625000,14.125000000,13.734375000,14.375000000,12.062500000,515908.921875000,28593,12345,crux_assoc_setstride32768_ways9_raw.csv
32768,10,1000000,64,64000000,50.053606688,16.515625000,3627.791349590,16.484375000,16.562500000,16.312500000,16.656250000,16.062500000,515916.953125000,136523,12345,crux_assoc_setstride32768_ways10_raw.csv
32768,11,1000000,64,64000000,51.659842797,16.515625000,3696.701351282,16.468750000,16.578125000,16.312500000,16.906250000,16.015625000,609631.359375000,204667,12345,crux_assoc_setstride32768_ways11_raw.csv
32768,12,1000000,64,64000000,48.897605781,16.500000000,3524.778258818,16.437500000,16.531250000,16.281250000,16.578125000,16.125000000,515896.671875000,71199,12345,crux_assoc_setstride32768_ways12_raw.csv
32768,13,1000000,64,64000000,48.051680453,16.515625000,3494.512776466,16.484375000,16.578125000,16.312500000,16.906250000,16.093750000,516609.343750000,239970,12345,crux_assoc_setstride32768_ways13_raw.csv
32768,14,1000000,64,64000000,49.898478562,16.515625000,3601.425787969,16.484375000,16.546875000,16.312500000,16.859375000,16.093750000,656504.453125000,181029,12345,crux_assoc_setstride32768_ways14_raw.csv
32768,15,1000000,64,64000000,51.201572047,16.515625000,3704.857882847,16.484375000,16.546875000,16.312500000,16.593750000,16.125000000,563051.671875000,117698,12345,crux_assoc_setstride32768_ways15_raw.csv
32768,16,1000000,64,64000000,50.366115625,16.593750000,3654.913176648,16.546875000,16.609375000,16.375000000,16.671875000,16.156250000,656536.109375000,134311,12345,crux_assoc_setstride32768_ways16_raw.csv
32768,17,1000000,64,64000000,52.431644078,16.859375000,3741.723944095,16.812500000,16.906250000,16.656250000,16.953125000,16.500000000,609692.625000000,78069,12345,crux_assoc_setstride32768_ways17_raw.csv
32768,18,1000000,64,64000000,52.664972672,16.828125000,3694.004397818,16.531250000,16.890625000,16.359375000,16.984375000,16.140625000,609715.828125000,24838,12345,crux_assoc_setstride32768_ways18_raw.csv
32768,19,1000000,64,64000000,51.264704187,16.531250000,3670.664530637,16.468750000,16.593750000,16.296875000,16.921875000,16.156250000,609693.359375000,190861,12345,crux_assoc_setstride32768_ways19_raw.csv
32768,20,1000000,64,64000000,48.379272016,16.515625000,3478.442135087,16.453125000,16.562500000,16.281250000,16.875000000,16.140625000,515909.968750000,149807,12345,crux_assoc_setstride32768_ways20_raw.csv
32768,21,1000000,64,64000000,48.978663516,16.500000000,3568.777035747,16.468750000,16.546875000,16.296875000,16.609375000,16.140625000,562842.234375000,125299,12345,crux_assoc_setstride32768_ways21_raw.csv
32768,22,1000000,64,64000000,48.685428312,16.515625000,3572.837360130,16.484375000,16.546875000,16.312500000,16.609375000,16.140625000,656547.093750000,116251,12345,crux_assoc_setstride32768_ways22_raw.csv
32768,23,1000000,64,64000000,57.043918094,18.562500000,3870.080933723,18.375000000,18.718750000,18.125000000,19.125000000,16.921875000,609683.968750000,49990,12345,crux_assoc_setstride32768_ways23_raw.csv
32768,24,1000000,64,64000000,54.271145125,18.656250000,3662.028300358,18.375000000,18.875000000,18.140625000,19.437500000,17.046875000,516080.046875000,43170,12345,crux_assoc_setstride32768_ways24_raw.csv
