set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8192,1,1000000,64,64000000,6.368027922,6.328125000,4.777022615,6.250000000,6.359375000,6.203125000,6.390625000,6.078125000,1100.921875000,12564,12345,crux_assoc_l1_setstride8192_ways1_raw.csv
8192,2,1000000,64,64000000,6.346117250,6.328125000,2.361870824,6.250000000,6.359375000,6.203125000,6.390625000,6.078125000,1075.171875000,12785,12345,crux_assoc_l1_setstride8192_ways2_raw.csv
8192,3,1000000,64,64000000,6.360900281,6.328125000,3.137873832,6.312500000,6.359375000,6.203125000,6.390625000,6.078125000,1051.687500000,155893,12345,crux_assoc_l1_setstride8192_ways3_raw.csv
8192,4,1000000,64,64000000,6.364099547,6.343750000,3.494597289,6.312500000,6.359375000,6.203125000,6.390625000,6.078125000,891.250000000,154349,12345,crux_assoc_l1_setstride8192_ways4_raw.csv
8192,5,1000000,64,64000000,6.385707109,6.343750000,5.366763407,6.312500000,6.359375000,6.203125000,6.390625000,6.109375000,1135.359375000,151543,12345,crux_assoc_l1_setstride8192_ways5_raw.csv
8192,6,1000000,64,64000000,6.351360469,6.328125000,1.769139551,6.312500000,6.359375000,6.203125000,6.390625000,6.078125000,797.218750000,168145,12345,crux_assoc_l1_setstride8192_ways6_raw.csv
8192,7,1000000,64,64000000,6.352344344,6.343750000,1.281458200,6.312500000,6.359375000,6.203125000,6.406250000,6.109375000,653.500000000,168430,12345,crux_assoc_l1_setstride8192_ways7_raw.csv
8192,8,1000000,64,64000000,6.769347000,6.687500000,4.192053587,6.671875000,6.718750000,6.640625000,6.937500000,6.203125000,1165.015625000,187586,12345,crux_assoc_l1_setstride8192_ways8_raw.csv
8192,9,1000000,64,64000000,10.803359078,10.781250000,2.254255628,10.718750000,10.828125000,10.640625000,10.875000000,9.390625000,1105.468750000,33929,12345,crux_assoc_l1_setstride8192_ways9_raw.csv
8192,10,1000000,64,64000000,10.826175984,10.796875000,3.235601945,10.734375000,10.843750000,10.671875000,10.875000000,10.265625000,1146.203125000,10249,12345,crux_assoc_l1_setstride8192_ways10_raw.csv
8192,11,1000000,64,64000000,10.857716109,10.796875000,5.739841555,10.734375000,10.843750000,10.671875000,10.875000000,10.546875000,1027.000000000,11131,12345,crux_assoc_l1_setstride8192_ways11_raw.csv
8192,12,1000000,64,64000000,10.885956078,10.796875000,6.506180000,10.734375000,10.843750000,10.671875000,10.937500000,10.531250000,1123.140625000,34048,12345,crux_assoc_l1_setstride8192_ways12_raw.csv
8192,13,1000000,64,64000000,10.855292766,10.796875000,4.652616564,10.734375000,10.843750000,10.671875000,10.968750000,10.546875000,1199.390625000,38257,12345,crux_assoc_l1_setstride8192_ways13_raw.csv
8192,14,1000000,64,64000000,10.830502562,10.781250000,5.345424277,10.703125000,10.828125000,10.578125000,10.875000000,10.359375000,1118.828125000,26860,12345,crux_assoc_l1_setstride8192_ways14_raw.csv
8192,15,1000000,64,64000000,10.819475172,10.781250000,3.742993083,10.718750000,10.828125000,10.640625000,10.875000000,10.328125000,1128.718750000,33358,12345,crux_assoc_l1_setstride8192_ways15_raw.csv
8192,16,1000000,64,64000000,10.823977297,10.796875000,2.740046047,10.734375000,10.843750000,10.671875000,10.875000000,10.531250000,1077.500000000,11001,12345,crux_assoc_l1_setstride8192_ways16_raw.csv
8192,17,1000000,64,64000000,10.890463109,10.796875000,6.989883475,10.734375000,10.843750000,10.671875000,10.937500000,10.531250000,1150.984375000,27186,12345,crux_assoc_l1_setstride8192_ways17_raw.csv
8192,18,1000000,64,64000000,11.725633547,11.593750000,8.456641595,11.437500000,11.781250000,11.171875000,12.062500000,10.703125000,1227.593750000,13192,12345,crux_assoc_l1_setstride8192_ways18_raw.csv
8192,19,1000000,64,64000000,11.670559703,11.593750000,2.908975683,11.437500000,11.812500000,11.156250000,12.171875000,10.671875000,1135.796875000,15695,12345,crux_assoc_l1_setstride8192_ways19_raw.csv
8192,20,1000000,64,64000000,11.875568188,11.765625000,5.956997051,11.531250000,12.046875000,11.218750000,12.515625000,10.640625000,1132.906250000,13851,12345,crux_assoc_l1_setstride8192_ways20_raw.csv
8192,21,1000000,64,64000000,11.783371828,11.750000000,4.338140794,11.515625000,11.906250000,11.218750000,12.250000000,10.718750000,1114.265625000,13836,12345,crux_assoc_l1_setstride8192_ways21_raw.csv
8192,22,1000000,64,64000000,13.798109922,13.765625000,4.981432470,13.515625000,13.921875000,13.140625000,14.359375000,12.375000000,1181.953125000,28344,12345,crux_assoc_l1_setstride8192_ways22_raw.csv
8192,23,1000000,64,64000000,13.585822594,13.515625000,3.262488057,13.265625000,13.796875000,12.984375000,14.203125000,12.671875000,1145.500000000,9146,12345,crux_assoc_l1_setstride8192_ways23_raw.csv
8192,24,1000000,64,64000000,13.452841500,13.453125000,6.315536741,13.125000000,13.609375000,12.687500000,13.953125000,11.500000000,1215.453125000,35023,12345,crux_assoc_l1_setstride8192_ways24_raw.csv
