set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
2097152,1,1000000,64,64000000,6.351383906,6.328125000,3.270620691,6.250000000,6.359375000,6.203125000,6.390625000,6.078125000,1109.375000000,12482,12345,crux_assoc_llc_setstride2097152_ways1_raw.csv
2097152,2,1000000,64,64000000,6.348153000,6.328125000,2.671095222,6.250000000,6.359375000,6.203125000,6.390625000,6.078125000,1161.921875000,12732,12345,crux_assoc_llc_setstride2097152_ways2_raw.csv
2097152,3,1000000,64,64000000,6.376863437,6.328125000,4.694353075,6.312500000,6.359375000,6.203125000,6.390625000,6.093750000,1089.343750000,161161,12345,crux_assoc_llc_setstride2097152_ways3_raw.csv
2097152,4,1000000,64,64000000,6.373596828,6.343750000,3.372920923,6.312500000,6.359375000,6.203125000,6.531250000,6.078125000,1146.234375000,232681,12345,crux_assoc_llc_setstride2097152_ways4_raw.csv
2097152,5,1000000,64,64000000,12.075197703,12.031250000,3.904707055,12.000000000,12.046875000,11.968750000,12.093750000,11.750000000,1066.656250000,19241,12345,crux_assoc_llc_setstride2097152_ways5_raw.csv
2097152,6,1000000,64,64000000,12.069933453,12.031250000,3.221860770,12.000000000,12.062500000,11.968750000,12.093750000,11.843750000,1105.343750000,13402,12345,crux_assoc_llc_setstride2097152_ways6_raw.csv
2097152,7,1000000,64,64000000,12.081141297,12.031250000,3.858764343,12.000000000,12.046875000,11.968750000,12.093750000,11.843750000,933.937500000,33834,12345,crux_assoc_llc_setstride2097152_ways7_raw.csv
2097152,8,1000000,64,64000000,12.648057891,12.593750000,3.790029213,12.546875000,12.656250000,12.468750000,12.703125000,12.062500000,1032.765625000,14088,12345,crux_assoc_llc_setstride2097152_ways8_raw.csv
2097152,9,1000000,64,64000000,16.563547406,16.500000000,3.490854004,16.468750000,16.531250000,16.421875000,16.578125000,15.843750000,1136.046875000,18016,12345,crux_assoc_llc_setstride2097152_ways9_raw.csv
2097152,10,1000000,64,64000000,16.708242187,16.500000000,10.780317681,16.468750000,16.531250000,16.421875000,17.609375000,16.218750000,5776.265625000,64989,12345,crux_assoc_llc_setstride2097152_ways10_raw.csv
2097152,11,1000000,64,64000000,16.575505656,16.500000000,4.455654272,16.468750000,16.531250000,16.421875000,16.578125000,16.343750000,877.531250000,17102,12345,crux_assoc_llc_setstride2097152_ways11_raw.csv
2097152,12,1000000,64,64000000,16.649428266,16.500000000,8.979206445,16.468750000,16.531250000,16.406250000,16.578125000,16.140625000,1218.500000000,58062,12345,crux_assoc_llc_setstride2097152_ways12_raw.csv
2097152,13,1000000,64,64000000,20.499776031,20.375000000,6.069001098,20.234375000,20.531250000,20.062500000,20.843750000,18.484375000,1172.671875000,49621,12345,crux_assoc_llc_setstride2097152_ways13_raw.csv
2097152,14,1000000,64,64000000,23.880042375,24.609375000,7.192996837,22.156250000,24.859375000,21.890625000,25.234375000,20.406250000,1202.109375000,725,12345,crux_assoc_llc_setstride2097152_ways14_raw.csv
2097152,15,1000000,64,64000000,26.092478297,25.921875000,8.518330579,25.765625000,26.078125000,25.546875000,26.343750000,23.156250000,1210.312500000,18297,12345,crux_assoc_llc_setstride2097152_ways15_raw.csv
2097152,16,1000000,64,64000000,26.665805016,26.515625000,6.944680379,26.390625000,26.671875000,26.281250000,26.828125000,24.031250000,1135.828125000,19315,12345,crux_assoc_llc_setstride2097152_ways16_raw.csv
2097152,17,1000000,64,64000000,27.567736844,27.375000000,9.709257149,27.187500000,27.593750000,26.765625000,28.031250000,24.437500000,1202.406250000,61214,12345,crux_assoc_llc_setstride2097152_ways17_raw.csv
2097152,18,1000000,64,64000000,27.929738797,27.765625000,7.070329163,27.312500000,28.390625000,26.812500000,28.796875000,25.281250000,1127.640625000,6151,12345,crux_assoc_llc_setstride2097152_ways18_raw.csv
2097152,19,1000000,64,64000000,28.548514203,28.390625000,7.824584334,28.109375000,28.734375000,27.718750000,29.109375000,26.234375000,1183.156250000,22445,12345,crux_assoc_llc_setstride2097152_ways19_raw.csv
2097152,20,1000000,64,64000000,28.705099109,28.531250000,5.940963325,28.296875000,28.859375000,28.015625000,29.328125000,26.531250000,1045.359375000,26646,12345,crux_assoc_llc_setstride2097152_ways20_raw.csv
2097152,21,1000000,64,64000000,29.052538750,28.921875000,5.110801337,28.765625000,29.140625000,28.546875000,29.359375000,28.250000000,1156.062500000,15900,12345,crux_assoc_llc_setstride2097152_ways21_raw.csv
2097152,22,1000000,64,64000000,29.329635125,29.046875000,12.981169467,28.843750000,29.296875000,28.453125000,29.703125000,26.859375000,1427.234375000,49616,12345,crux_assoc_llc_setstride2097152_ways22_raw.csv
2097152,23,1000000,64,64000000,29.371383781,29.265625000,6.274921113,29.109375000,29.437500000,28.765625000,29.734375000,27.125000000,1161.921875000,53683,12345,crux_assoc_llc_setstride2097152_ways23_raw.csv
2097152,24,1000000,64,64000000,29.632435484,29.578125000,6.621177696,29.203125000,29.812500000,28.859375000,30.140625000,27.437500000,1231.453125000,35346,12345,crux_assoc_llc_setstride2097152_ways24_raw.csv
