stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
56,131072,131040,2340,1000000,64,64000000,12.045793516,11.812500000,3.858729787,11.406250000,12.343750000,10.906250000,13.953125000,10.156250000,1127.734375000,57829,12345,line_dense_knee2_stride56_footprint131040_raw.csv
56,262144,262136,4681,1000000,64,64000000,16.331464125,16.125000000,4.932829731,15.281250000,17.046875000,14.109375000,19.000000000,11.593750000,1126.750000000,29007,12345,line_dense_knee2_stride56_footprint262136_raw.csv
56,524288,524272,9362,1000000,64,64000000,27.132292094,27.031250000,7.866652574,26.171875000,27.843750000,24.796875000,29.109375000,21.109375000,1205.593750000,19178,12345,line_dense_knee2_stride56_footprint524272_raw.csv
60,131072,131040,2184,1000000,64,64000000,11.443479484,11.187500000,4.678293843,10.984375000,11.421875000,10.718750000,13.640625000,10.281250000,1132.656250000,73465,12345,line_dense_knee2_stride60_footprint131040_raw.csv
60,262144,262140,4369,1000000,64,64000000,17.195501844,16.953125000,8.245995801,16.156250000,17.796875000,15.093750000,19.500000000,12.406250000,1195.515625000,26757,12345,line_dense_knee2_stride60_footprint262140_raw.csv
60,524288,524280,8738,1000000,64,64000000,28.225769562,28.031250000,8.550702833,27.218750000,28.890625000,26.015625000,30.234375000,23.093750000,1211.765625000,16588,12345,line_dense_knee2_stride60_footprint524280_raw.csv
64,131072,131072,2048,1000000,64,64000000,11.026723859,10.781250000,3.042688046,10.718750000,10.859375000,10.640625000,13.296875000,10.390625000,1117.953125000,92282,12345,line_dense_knee2_stride64_footprint131072_raw.csv
64,262144,262144,4096,1000000,64,64000000,16.974658937,16.781250000,4.322160435,16.046875000,17.578125000,15.031250000,19.281250000,12.218750000,1180.515625000,31570,12345,line_dense_knee2_stride64_footprint262144_raw.csv
64,524288,524288,8192,1000000,64,64000000,28.120134828,28.015625000,6.278715399,27.187500000,28.875000000,25.843750000,30.156250000,22.093750000,1252.984375000,26400,12345,line_dense_knee2_stride64_footprint524288_raw.csv
68,131072,131036,1927,1000000,64,64000000,11.571586688,11.312500000,4.624376498,11.125000000,11.500000000,10.859375000,13.781250000,10.515625000,1162.234375000,82787,12345,line_dense_knee2_stride68_footprint131036_raw.csv
68,262144,262140,3855,1000000,64,64000000,17.546520797,17.328125000,4.986442666,16.546875000,18.203125000,15.500000000,19.968750000,12.781250000,1135.093750000,27819,12345,line_dense_knee2_stride68_footprint262140_raw.csv
68,524288,524280,7710,1000000,64,64000000,28.821665297,28.671875000,10.372353925,27.750000000,29.546875000,26.421875000,30.875000000,23.312500000,4753.906250000,14300,12345,line_dense_knee2_stride68_footprint524280_raw.csv
72,131072,131040,1820,1000000,64,64000000,11.056366625,10.796875000,5.189764910,10.718750000,10.875000000,10.640625000,13.281250000,10.359375000,1123.234375000,83375,12345,line_dense_knee2_stride72_footprint131040_raw.csv
72,262144,262080,3640,1000000,64,64000000,16.832981141,16.593750000,5.903659374,15.875000000,17.421875000,14.906250000,19.156250000,12.453125000,1198.968750000,30737,12345,line_dense_knee2_stride72_footprint262080_raw.csv
72,524288,524232,7281,1000000,64,64000000,28.065067094,27.921875000,6.714085117,27.062500000,28.828125000,25.734375000,30.203125000,22.687500000,1180.671875000,13486,12345,line_dense_knee2_stride72_footprint524232_raw.csv
