stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8,65536,65536,8192,1000000,64,64000000,8.936055766,8.781250000,4.873407493,8.578125000,8.984375000,8.281250000,9.468750000,7.718750000,1129.218750000,48928,12345,line_size_stride8_footprint65536_raw.csv
8,131072,131072,16384,1000000,64,64000000,10.748636453,10.484375000,5.116330640,10.140625000,10.906250000,9.703125000,12.796875000,9.125000000,870.906250000,73320,12345,line_size_stride8_footprint131072_raw.csv
8,262144,262144,32768,1000000,64,64000000,14.483542797,14.234375000,5.288682192,13.484375000,15.093750000,12.500000000,16.921875000,10.328125000,1133.687500000,30525,12345,line_size_stride8_footprint262144_raw.csv
8,524288,524288,65536,1000000,64,64000000,23.753839906,23.687500000,6.301549036,22.765625000,24.578125000,21.421875000,25.859375000,17.890625000,1233.593750000,8853,12345,line_size_stride8_footprint524288_raw.csv
8,1048576,1048576,131072,1000000,64,64000000,29.953836938,29.859375000,6.773372685,29.046875000,30.656250000,27.875000000,31.781250000,24.843750000,1122.312500000,8638,12345,line_size_stride8_footprint1048576_raw.csv
16,65536,65536,4096,1000000,64,64000000,9.083426406,8.937500000,5.236871353,8.765625000,9.109375000,8.406250000,9.578125000,8.031250000,1150.109375000,61565,12345,line_size_stride16_footprint65536_raw.csv
16,131072,131072,8192,1000000,64,64000000,10.894011453,10.640625000,4.171342232,10.296875000,11.062500000,9.890625000,12.953125000,9.093750000,1223.093750000,73255,12345,line_size_stride16_footprint131072_raw.csv
16,262144,262144,16384,1000000,64,64000000,14.802307641,14.515625000,6.238555977,13.734375000,15.437500000,12.734375000,17.359375000,10.390625000,3336.750000000,28686,12345,line_size_stride16_footprint262144_raw.csv
16,524288,524288,32768,1000000,64,64000000,24.359902625,24.265625000,5.408804851,23.406250000,25.156250000,22.125000000,26.406250000,19.531250000,1145.765625000,6239,12345,line_size_stride16_footprint524288_raw.csv
16,1048576,1048576,65536,1000000,64,64000000,30.266665781,30.156250000,6.246235426,29.406250000,30.921875000,28.265625000,32.031250000,25.031250000,1202.812500000,10514,12345,line_size_stride16_footprint1048576_raw.csv
32,65536,65536,2048,1000000,64,64000000,9.636915422,9.546875000,3.222561138,9.250000000,9.703125000,9.046875000,10.171875000,8.812500000,1107.875000000,39609,12345,line_size_stride32_footprint65536_raw.csv
32,131072,131072,4096,1000000,64,64000000,11.309981328,11.000000000,6.262642863,10.656250000,11.468750000,10.234375000,13.359375000,9.609375000,3442.187500000,72798,12345,line_size_stride32_footprint131072_raw.csv
