stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8,1048576,1048576,131072,1000000,64,64000000,29.966136188,29.890625000,7.111466693,29.078125000,30.671875000,27.906250000,31.734375000,24.906250000,1168.484375000,5377,12345,line_size_llc_stride8_footprint1048576_raw.csv
8,2097152,2097152,262144,1000000,64,64000000,33.065074922,32.890625000,7.235185551,32.203125000,33.562500000,31.218750000,34.781250000,28.671875000,1217.984375000,25775,12345,line_size_llc_stride8_footprint2097152_raw.csv
8,4194304,4194304,524288,1000000,64,64000000,45.592992031,44.093750000,11.771796741,40.734375000,48.609375000,36.625000000,59.390625000,31.484375000,1238.796875000,41760,12345,line_size_llc_stride8_footprint4194304_raw.csv
8,8388608,8388608,1048576,1000000,64,64000000,112.705547406,111.328125000,20.298694826,102.281250000,121.375000000,90.734375000,137.265625000,57.890625000,1388.484375000,10892,12345,line_size_llc_stride8_footprint8388608_raw.csv
8,16777216,16777216,2097152,1000000,64,64000000,171.344008484,170.468750000,24.032672448,160.375000000,180.953125000,147.203125000,195.968750000,83.703125000,1403.125000000,13011,12345,line_size_llc_stride8_footprint16777216_raw.csv
16,1048576,1048576,65536,1000000,64,64000000,30.256783719,30.156250000,7.785396499,29.390625000,30.906250000,28.125000000,32.031250000,24.859375000,1192.890625000,14796,12345,line_size_llc_stride16_footprint1048576_raw.csv
16,2097152,2097152,131072,1000000,64,64000000,33.265239234,33.078125000,7.985088713,32.421875000,33.718750000,31.468750000,34.843750000,28.578125000,1225.453125000,27734,12345,line_size_llc_stride16_footprint2097152_raw.csv
16,4194304,4194304,262144,1000000,64,64000000,46.646502766,45.171875000,12.360764670,41.484375000,49.812500000,37.218750000,60.859375000,31.593750000,1264.968750000,38864,12345,line_size_llc_stride16_footprint4194304_raw.csv
16,8388608,8388608,524288,1000000,64,64000000,118.582716687,117.156250000,21.042798019,107.984375000,127.328125000,96.359375000,143.390625000,66.625000000,1341.140625000,10382,12345,line_size_llc_stride16_footprint8388608_raw.csv
16,16777216,16777216,1048576,1000000,64,64000000,176.568991297,175.484375000,25.410059967,165.625000000,185.765625000,153.390625000,200.421875000,120.156250000,8613.843750000,6882,12345,line_size_llc_stride16_footprint16777216_raw.csv
32,1048576,1048576,32768,1000000,64,64000000,31.094308109,30.921875000,9.943521531,30.234375000,31.625000000,29.203125000,32.640625000,26.390625000,1181.015625000,15971,12345,line_size_llc_stride32_footprint1048576_raw.csv
32,2097152,2097152,65536,1000000,64,64000000,33.532212156,33.390625000,7.070596356,32.765625000,34.015625000,31.812500000,34.937500000,29.390625000,1195.718750000,20166,12345,line_size_llc_stride32_footprint2097152_raw.csv
32,4194304,4194304,131072,1000000,64,64000000,38.535807797,37.359375000,9.030593642,35.468750000,39.828125000,33.890625000,46.406250000,31.125000000,1233.734375000,50351,12345,line_size_llc_stride32_footprint4194304_raw.csv
