stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8,1024,1024,128,1000000,64,64000000,20.458325406,6.359375000,2346.978853527,6.328125000,6.390625000,6.296875000,6.515625000,6.109375000,610577.109375000,109409,12345,line_size_stride8_footprint1024_raw.csv
8,2048,2048,256,1000000,64,64000000,19.688118453,6.390625000,2299.052703622,6.343750000,6.484375000,6.296875000,6.531250000,6.109375000,609801.968750000,10177,12345,line_size_stride8_footprint2048_raw.csv
8,4096,4096,512,1000000,64,64000000,20.164750906,6.359375000,2338.768670938,6.328125000,6.406250000,6.234375000,6.484375000,6.109375000,609791.859375000,44876,12345,line_size_stride8_footprint4096_raw.csv
8,8192,8192,1024,1000000,64,64000000,20.036980625,6.359375000,2339.600481151,6.328125000,6.390625000,6.203125000,6.453125000,6.078125000,609783.078125000,98098,12345,line_size_stride8_footprint8192_raw.csv
8,16384,16384,2048,1000000,64,64000000,18.525402281,6.468750000,2118.461946672,6.359375000,6.515625000,6.296875000,6.671875000,6.109375000,469290.765625000,40659,12345,line_size_stride8_footprint16384_raw.csv
8,32768,32768,4096,1000000,64,64000000,19.975274875,6.609375000,2282.283364965,6.484375000,6.734375000,6.328125000,6.937500000,6.109375000,609776.000000000,18168,12345,line_size_stride8_footprint32768_raw.csv
8,65536,65536,8192,1000000,64,64000000,27.767804094,8.734375000,2732.694129308,8.562500000,8.921875000,8.234375000,9.234375000,7.750000000,609878.906250000,19099,12345,line_size_stride8_footprint65536_raw.csv
8,131072,131072,16384,1000000,64,64000000,28.462225141,9.796875000,2679.462788279,9.609375000,9.953125000,9.375000000,10.171875000,8.921875000,609871.187500000,11523,12345,line_size_stride8_footprint131072_raw.csv
16,1024,1024,64,1000000,64,64000000,17.791145531,6.343750000,2080.656597312,6.328125000,6.359375000,6.296875000,6.390625000,6.109375000,469149.578125000,62313,12345,line_size_stride16_footprint1024_raw.csv
16,2048,2048,128,1000000,64,64000000,17.781716141,6.343750000,2107.831030533,6.328125000,6.359375000,6.296875000,6.390625000,6.109375000,515933.500000000,55980,12345,line_size_stride16_footprint2048_raw.csv
