mode,requested_bytes,actual_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
random,4194304,4194304,524288,1000000,64,64000000,40.652473016,40.406250000,5.605832389,38.859375000,41.953125000,36.562500000,44.218750000,30.203125000,613.312500000,11703,12345,elevation_capacity_coarse_4194304_random_raw.csv
random,131072,131072,16384,1000000,64,64000000,17.734151203,17.734375000,1.837842750,17.296875000,18.156250000,16.546875000,18.765625000,15.671875000,497.875000000,10108,12345,elevation_capacity_coarse_131072_random_raw.csv
random,16384,16384,2048,1000000,64,64000000,3.358267578,3.359375000,0.933751556,3.328125000,3.359375000,3.328125000,3.390625000,3.265625000,644.250000000,8619,12345,elevation_capacity_coarse_16384_random_raw.csv
random,67108864,67108864,8388608,1000000,64,64000000,237.514713234,237.046875000,23.365518117,227.125000000,244.953125000,210.515625000,256.031250000,172.687500000,1351.140625000,27242,12345,elevation_capacity_coarse_67108864_random_raw.csv
random,8192,8192,1024,1000000,64,64000000,3.355570250,3.359375000,0.646110953,3.328125000,3.359375000,3.328125000,3.375000000,3.265625000,133.109375000,587,12345,elevation_capacity_coarse_8192_random_raw.csv
random,262144,262144,32768,1000000,64,64000000,16.816837859,16.796875000,1.632939116,16.343750000,17.234375000,15.671875000,17.828125000,13.796875000,273.234375000,10077,12345,elevation_capacity_coarse_262144_random_raw.csv
random,16777216,16777216,2097152,1000000,64,64000000,111.816306047,108.609375000,20.778621880,99.218750000,120.609375000,88.687500000,139.750000000,63.859375000,929.328125000,25954,12345,elevation_capacity_coarse_16777216_random_raw.csv
random,524288,524288,65536,1000000,64,64000000,19.848041469,19.828125000,2.063797972,19.421875000,20.203125000,18.843750000,20.703125000,17.234375000,1073.765625000,5957,12345,elevation_capacity_coarse_524288_random_raw.csv
random,33554432,33554432,4194304,1000000,64,64000000,188.271757344,187.765625000,22.214952764,175.609375000,198.562500000,160.062500000,212.406250000,117.593750000,1185.078125000,12800,12345,elevation_capacity_coarse_33554432_random_raw.csv
random,2097152,2097152,262144,1000000,64,64000000,26.328238734,26.093750000,3.883306251,25.156250000,27.109375000,23.937500000,28.718750000,21.125000000,537.125000000,11429,12345,elevation_capacity_coarse_2097152_random_raw.csv
random,4096,4096,512,1000000,64,64000000,3.355221219,3.359375000,0.646652021,3.328125000,3.359375000,3.328125000,3.375000000,3.062500000,210.765625000,290,12345,elevation_capacity_coarse_4096_random_raw.csv
random,8388608,8388608,1048576,1000000,64,64000000,52.897578922,51.484375000,9.588096576,49.171875000,54.312500000,46.312500000,63.406250000,37.937500000,971.390625000,57263,12345,elevation_capacity_coarse_8388608_random_raw.csv
random,65536,65536,8192,1000000,64,64000000,10.255684187,10.281250000,1.504600093,9.687500000,10.859375000,8.671875000,11.421875000,7.578125000,411.875000000,6290,12345,elevation_capacity_coarse_65536_random_raw.csv
random,32768,32768,4096,1000000,64,64000000,3.746909062,3.734375000,1.074990085,3.546875000,3.906250000,3.343750000,4.156250000,3.281250000,663.703125000,8033,12345,elevation_capacity_coarse_32768_random_raw.csv
random,1048576,1048576,131072,1000000,64,64000000,21.418876141,21.390625000,2.433359586,21.078125000,21.656250000,20.609375000,22.031250000,19.328125000,980.281250000,11381,12345,elevation_capacity_coarse_1048576_random_raw.csv
