set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
4096,1,1000000,128,128000000,2.823073055,2.812500000,0.626101800,2.804687500,2.820312500,2.796875000,2.835937500,2.773437500,233.898437500,12700,12345,elevation_l1_assoc_setstride4096_ways1_raw.csv
4096,2,1000000,128,128000000,2.820373938,2.812500000,0.493709960,2.804687500,2.820312500,2.796875000,2.835937500,2.773437500,143.390625000,3520,12345,elevation_l1_assoc_setstride4096_ways2_raw.csv
4096,3,1000000,128,128000000,2.822915453,2.812500000,0.547860591,2.812500000,2.828125000,2.796875000,2.835937500,2.773437500,236.945312500,2899,12345,elevation_l1_assoc_setstride4096_ways3_raw.csv
4096,4,1000000,128,128000000,2.820310141,2.812500000,0.449061300,2.804687500,2.820312500,2.796875000,2.835937500,2.765625000,95.562500000,5264,12345,elevation_l1_assoc_setstride4096_ways4_raw.csv
4096,5,1000000,128,128000000,2.920880000,2.906250000,0.624406596,2.828125000,2.937500000,2.804687500,3.062500000,2.773437500,300.382812500,43237,12345,elevation_l1_assoc_setstride4096_ways5_raw.csv
4096,6,1000000,128,128000000,3.000080992,2.890625000,0.530888699,2.820312500,3.164062500,2.804687500,3.453125000,2.773437500,112.843750000,8436,12345,elevation_l1_assoc_setstride4096_ways6_raw.csv
4096,7,1000000,128,128000000,2.934109258,2.906250000,0.616572702,2.828125000,2.968750000,2.804687500,3.171875000,2.703125000,274.757812500,44695,12345,elevation_l1_assoc_setstride4096_ways7_raw.csv
4096,8,1000000,128,128000000,3.237642523,3.156250000,0.728361338,3.062500000,3.265625000,2.960937500,3.570312500,2.820312500,113.109375000,37352,12345,elevation_l1_assoc_setstride4096_ways8_raw.csv
4096,9,1000000,128,128000000,4.406024148,4.375000000,0.721367803,4.343750000,4.507812500,4.156250000,4.570312500,4.062500000,311.390625000,2382,12345,elevation_l1_assoc_setstride4096_ways9_raw.csv
4096,10,1000000,128,128000000,15.637437227,15.625000000,0.966619856,15.601562500,15.648437500,15.585937500,15.664062500,5.367187500,242.796875000,4941,12345,elevation_l1_assoc_setstride4096_ways10_raw.csv
4096,11,1000000,128,128000000,15.651910555,15.625000000,1.004197733,15.601562500,15.648437500,15.585937500,15.664062500,9.851562500,305.687500000,3328,12345,elevation_l1_assoc_setstride4096_ways11_raw.csv
4096,12,1000000,128,128000000,15.651461578,15.625000000,1.012446732,15.601562500,15.648437500,15.585937500,15.664062500,10.351562500,274.710937500,2852,12345,elevation_l1_assoc_setstride4096_ways12_raw.csv
4096,13,1000000,128,128000000,20.183467109,20.148437500,1.106548291,20.125000000,20.171875000,20.101562500,20.203125000,14.726562500,296.125000000,3281,12345,elevation_l1_assoc_setstride4096_ways13_raw.csv
4096,14,1000000,128,128000000,15.652191234,15.625000000,1.008938486,15.601562500,15.648437500,15.585937500,15.664062500,11.062500000,299.148437500,4604,12345,elevation_l1_assoc_setstride4096_ways14_raw.csv
4096,15,1000000,128,128000000,14.132501687,14.335937500,1.110263364,14.265625000,14.406250000,13.109375000,14.445312500,10.710937500,363.085937500,237331,12345,elevation_l1_assoc_setstride4096_ways15_raw.csv
4096,16,1000000,128,128000000,15.652100023,15.625000000,1.035019946,15.601562500,15.648437500,15.585937500,15.664062500,10.812500000,317.968750000,3716,12345,elevation_l1_assoc_setstride4096_ways16_raw.csv
4096,17,1000000,128,128000000,15.651878562,15.625000000,0.992427451,15.601562500,15.648437500,15.585937500,15.664062500,10.789062500,250.562500000,2946,12345,elevation_l1_assoc_setstride4096_ways17_raw.csv
4096,18,1000000,128,128000000,15.651258477,15.625000000,0.965613074,15.601562500,15.648437500,15.585937500,15.664062500,11.421875000,248.640625000,3141,12345,elevation_l1_assoc_setstride4096_ways18_raw.csv
4096,19,1000000,128,128000000,15.653295602,15.625000000,1.040813669,15.601562500,15.648437500,15.585937500,15.664062500,12.375000000,252.726562500,3574,12345,elevation_l1_assoc_setstride4096_ways19_raw.csv
4096,20,1000000,128,128000000,15.652859219,15.625000000,1.024059071,15.601562500,15.648437500,15.585937500,15.664062500,12.570312500,250.343750000,2492,12345,elevation_l1_assoc_setstride4096_ways20_raw.csv
4096,21,1000000,128,128000000,15.652970484,15.625000000,1.034635924,15.601562500,15.648437500,15.585937500,15.664062500,12.585937500,276.953125000,2875,12345,elevation_l1_assoc_setstride4096_ways21_raw.csv
4096,22,1000000,128,128000000,15.651475602,15.625000000,0.989381472,15.601562500,15.648437500,15.585937500,15.664062500,12.890625000,323.156250000,2483,12345,elevation_l1_assoc_setstride4096_ways22_raw.csv
4096,23,1000000,128,128000000,15.651007891,15.625000000,0.944029778,15.601562500,15.648437500,15.585937500,15.664062500,13.078125000,233.671875000,2770,12345,elevation_l1_assoc_setstride4096_ways23_raw.csv
4096,24,1000000,128,128000000,15.652468047,15.625000000,0.978889541,15.601562500,15.648437500,15.585937500,15.664062500,13.093750000,262.460937500,3359,12345,elevation_l1_assoc_setstride4096_ways24_raw.csv
