mode,requested_bytes,actual_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
random,4194304,4194304,524288,1000000,64,64000000,47.481760062,46.375000000,6.717613290,43.906250000,49.218750000,42.500000000,56.343750000,39.156250000,884.906250000,44722,12345,capacity_coarse_4194304_random_raw.csv
random,131072,131072,16384,1000000,64,64000000,13.449564188,13.343750000,2.113378084,13.093750000,13.562500000,12.750000000,14.031250000,12.218750000,231.156250000,39870,12345,capacity_coarse_131072_random_raw.csv
random,16384,16384,2048,1000000,64,64000000,8.656448937,8.593750000,1.832098586,8.500000000,8.781250000,8.375000000,8.875000000,7.968750000,513.968750000,9746,12345,capacity_coarse_16384_random_raw.csv
random,67108864,67108864,8388608,1000000,64,64000000,258.321760406,257.343750000,66.640523652,246.906250000,266.375000000,236.656250000,279.468750000,207.531250000,49650.406250000,18181,12345,capacity_coarse_67108864_random_raw.csv
random,8192,8192,1024,1000000,64,64000000,8.669623625,8.625000000,1.557432355,8.531250000,8.781250000,8.375000000,8.906250000,8.062500000,480.437500000,8282,12345,capacity_coarse_8192_random_raw.csv
random,262144,262144,32768,1000000,64,64000000,18.052467594,17.875000000,2.722314857,17.125000000,18.718750000,16.187500000,20.187500000,14.093750000,500.656250000,20146,12345,capacity_coarse_262144_random_raw.csv
random,16777216,16777216,2097152,1000000,64,64000000,190.502515750,188.406250000,22.749076960,176.125000000,202.000000000,160.656250000,224.562500000,114.531250000,1260.812500000,18817,12345,capacity_coarse_16777216_random_raw.csv
random,524288,524288,65536,1000000,64,64000000,30.485395906,30.406250000,4.152829080,29.281250000,31.500000000,27.687500000,33.218750000,23.187500000,960.781250000,8071,12345,capacity_coarse_524288_random_raw.csv
random,33554432,33554432,4194304,1000000,64,64000000,231.747749406,230.531250000,19.352603010,219.843750000,241.593750000,207.218750000,257.218750000,173.093750000,1253.562500000,12811,12345,capacity_coarse_33554432_random_raw.csv
random,2097152,2097152,262144,1000000,64,64000000,41.841009781,41.656250000,4.231262304,40.875000000,42.375000000,39.718750000,43.593750000,36.531250000,557.156250000,25878,12345,capacity_coarse_2097152_random_raw.csv
random,4096,4096,512,1000000,64,64000000,8.646935625,8.593750000,1.468485476,8.500000000,8.781250000,8.375000000,8.906250000,8.093750000,260.000000000,8041,12345,capacity_coarse_4096_random_raw.csv
random,8388608,8388608,1048576,1000000,64,64000000,109.963617406,105.406250000,25.581695406,93.625000000,120.468750000,79.968750000,153.906250000,50.125000000,933.406250000,38428,12345,capacity_coarse_8388608_random_raw.csv
random,65536,65536,8192,1000000,64,64000000,11.959251031,11.906250000,2.201763956,11.625000000,12.156250000,11.218750000,12.562500000,10.406250000,494.281250000,23846,12345,capacity_coarse_65536_random_raw.csv
random,32768,32768,4096,1000000,64,64000000,8.955467281,8.875000000,1.850163553,8.718750000,9.031250000,8.500000000,9.312500000,8.125000000,491.593750000,25457,12345,capacity_coarse_32768_random_raw.csv
random,1048576,1048576,131072,1000000,64,64000000,38.082513687,37.968750000,4.372890137,37.000000000,38.968750000,35.593750000,40.312500000,32.750000000,986.843750000,9292,12345,capacity_coarse_1048576_random_raw.csv
