stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
56,1048576,1048544,18724,1000000,64,64000000,40.119117281,40.093750000,3.999328607,39.250000000,40.843750000,37.937500000,41.843750000,34.531250000,697.875000000,8240,12345,line_dense_knee3_stride56_footprint1048544_raw.csv
56,2097152,2097144,37449,1000000,64,64000000,42.805285844,42.750000000,3.910454662,42.093750000,43.343750000,41.062500000,44.156250000,38.593750000,525.687500000,9432,12345,line_dense_knee3_stride56_footprint2097144_raw.csv
56,4194304,4194288,74898,1000000,64,64000000,45.322506156,44.312500000,5.470810508,43.656250000,46.031250000,42.875000000,50.000000000,40.187500000,961.125000000,57023,12345,line_dense_knee3_stride56_footprint4194288_raw.csv
56,8388608,8388576,149796,1000000,64,64000000,124.288165656,122.281250000,19.189529536,111.500000000,134.875000000,98.250000000,155.468750000,60.093750000,951.593750000,14206,12345,line_dense_knee3_stride56_footprint8388576_raw.csv
60,1048576,1048560,17476,1000000,64,64000000,41.228175375,41.156250000,4.157227511,40.406250000,41.906250000,39.218750000,42.937500000,36.500000000,858.937500000,7357,12345,line_dense_knee3_stride60_footprint1048560_raw.csv
60,2097152,2097120,34952,1000000,64,64000000,43.753020687,43.656250000,3.604450912,43.062500000,44.250000000,42.156250000,45.093750000,39.093750000,520.437500000,10220,12345,line_dense_knee3_stride60_footprint2097120_raw.csv
60,4194304,4194300,69905,1000000,64,64000000,48.238085656,47.593750000,5.998861024,45.062500000,49.375000000,44.031250000,55.156250000,41.593750000,859.875000000,45664,12345,line_dense_knee3_stride60_footprint4194300_raw.csv
60,8388608,8388600,139810,1000000,64,64000000,128.299133344,126.281250000,19.717835992,115.125000000,139.250000000,101.468750000,160.437500000,67.625000000,1038.468750000,13241,12345,line_dense_knee3_stride60_footprint8388600_raw.csv
64,1048576,1048576,16384,1000000,64,64000000,40.756833594,40.687500000,3.752768688,39.937500000,41.437500000,38.750000000,42.500000000,36.312500000,547.375000000,6588,12345,line_dense_knee3_stride64_footprint1048576_raw.csv
64,2097152,2097152,32768,1000000,64,64000000,43.245678281,43.156250000,4.350962405,42.562500000,43.718750000,41.656250000,44.593750000,39.406250000,905.281250000,10906,12345,line_dense_knee3_stride64_footprint2097152_raw.csv
64,4194304,4194304,65536,1000000,64,64000000,44.311233875,44.187500000,3.850508259,43.687500000,44.656250000,42.968750000,45.312500000,41.000000000,549.656250000,17937,12345,line_dense_knee3_stride64_footprint4194304_raw.csv
64,8388608,8388608,131072,1000000,64,64000000,131.798857750,129.625000000,20.704894448,117.875000000,143.250000000,103.687500000,165.968750000,72.812500000,1240.718750000,13795,12345,line_dense_knee3_stride64_footprint8388608_raw.csv
68,1048576,1048560,15420,1000000,64,64000000,41.681304500,41.625000000,3.899697548,40.906250000,42.312500000,39.750000000,43.250000000,36.437500000,809.781250000,11592,12345,line_dense_knee3_stride68_footprint1048560_raw.csv
68,2097152,2097120,30840,1000000,64,64000000,43.898478625,43.812500000,3.440878117,43.218750000,44.406250000,42.375000000,45.187500000,39.750000000,520.218750000,6488,12345,line_dense_knee3_stride68_footprint2097120_raw.csv
68,4194304,4194240,61680,1000000,64,64000000,45.134257156,45.031250000,3.991358119,44.531250000,45.468750000,43.750000000,46.093750000,40.500000000,859.906250000,21067,12345,line_dense_knee3_stride68_footprint4194240_raw.csv
68,8388608,8388548,123361,1000000,64,64000000,131.678543594,129.156250000,21.913664451,116.750000000,143.812500000,101.906250000,168.906250000,67.375000000,984.468750000,15220,12345,line_dense_knee3_stride68_footprint8388548_raw.csv
72,1048576,1048536,14563,1000000,64,64000000,40.909908719,40.812500000,3.808409219,40.125000000,41.531250000,39.093750000,42.531250000,35.968750000,854.937500000,11089,12345,line_dense_knee3_stride72_footprint1048536_raw.csv
72,2097152,2097144,29127,1000000,64,64000000,43.190669188,43.125000000,3.831360588,42.531250000,43.656250000,41.656250000,44.468750000,39.156250000,901.375000000,12235,12345,line_dense_knee3_stride72_footprint2097144_raw.csv
72,4194304,4194288,58254,1000000,64,64000000,45.907768187,44.593750000,5.509249656,43.937500000,47.000000000,43.125000000,51.125000000,40.500000000,1320.968750000,43993,12345,line_dense_knee3_stride72_footprint4194288_raw.csv
72,8388608,8388576,116508,1000000,64,64000000,134.496905219,132.968750000,18.468020540,122.343750000,144.906250000,108.906250000,163.531250000,68.750000000,1163.625000000,10970,12345,line_dense_knee3_stride72_footprint8388576_raw.csv
