stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8,16384,16384,2048,1000000,64,64000000,8.599819500,8.562500000,1.720627016,8.437500000,8.625000000,8.406250000,8.843750000,8.093750000,569.062500000,23172,12345,line_size_l1_stride8_footprint16384_raw.csv
8,32768,32768,4096,1000000,64,64000000,8.983066281,8.906250000,1.622729094,8.781250000,9.062500000,8.593750000,9.437500000,8.218750000,477.250000000,44117,12345,line_size_l1_stride8_footprint32768_raw.csv
8,65536,65536,8192,1000000,64,64000000,11.938777094,11.906250000,1.793230017,11.656250000,12.156250000,11.218750000,12.562500000,10.625000000,485.000000000,13181,12345,line_size_l1_stride8_footprint65536_raw.csv
8,131072,131072,16384,1000000,64,64000000,14.130778375,14.062500000,2.151720503,13.656250000,14.500000000,13.125000000,15.218750000,12.156250000,701.937500000,11045,12345,line_size_l1_stride8_footprint131072_raw.csv
16,16384,16384,1024,1000000,64,64000000,8.564360781,8.531250000,1.531231277,8.437500000,8.625000000,8.406250000,8.781250000,8.125000000,496.875000000,11999,12345,line_size_l1_stride16_footprint16384_raw.csv
16,32768,32768,2048,1000000,64,64000000,8.942224500,8.906250000,1.529232976,8.750000000,9.062500000,8.562500000,9.281250000,8.218750000,485.218750000,10667,12345,line_size_l1_stride16_footprint32768_raw.csv
16,65536,65536,4096,1000000,64,64000000,12.182759406,12.187500000,1.750539204,11.906250000,12.406250000,11.468750000,12.718750000,10.906250000,517.375000000,15935,12345,line_size_l1_stride16_footprint65536_raw.csv
16,131072,131072,8192,1000000,64,64000000,14.399451094,14.343750000,2.101137633,13.906250000,14.781250000,13.406250000,15.468750000,12.187500000,491.156250000,8198,12345,line_size_l1_stride16_footprint131072_raw.csv
32,16384,16384,512,1000000,64,64000000,8.631435312,8.593750000,1.470275663,8.531250000,8.687500000,8.437500000,8.843750000,8.093750000,485.125000000,26925,12345,line_size_l1_stride32_footprint16384_raw.csv
32,32768,32768,1024,1000000,64,64000000,9.145647969,9.125000000,1.454355282,8.937500000,9.281250000,8.718750000,9.531250000,8.281250000,179.375000000,9511,12345,line_size_l1_stride32_footprint32768_raw.csv
32,65536,65536,2048,1000000,64,64000000,13.082851844,13.031250000,1.964914309,12.781250000,13.250000000,12.281250000,13.875000000,11.625000000,492.093750000,48380,12345,line_size_l1_stride32_footprint65536_raw.csv
32,131072,131072,4096,1000000,64,64000000,14.959524313,14.843750000,2.290181304,14.406250000,15.375000000,13.937500000,16.187500000,13.156250000,816.125000000,7969,12345,line_size_l1_stride32_footprint131072_raw.csv
64,16384,16384,256,1000000,64,64000000,8.509025406,8.468750000,1.395360066,8.468750000,8.500000000,8.406250000,8.593750000,8.062500000,483.250000000,146678,12345,line_size_l1_stride64_footprint16384_raw.csv
64,32768,32768,512,1000000,64,64000000,9.208722188,9.156250000,1.545455982,9.000000000,9.375000000,8.750000000,9.625000000,8.343750000,485.250000000,6809,12345,line_size_l1_stride64_footprint32768_raw.csv
64,65536,65536,1024,1000000,64,64000000,14.653027906,14.625000000,1.812571904,14.562500000,14.687500000,14.468750000,14.750000000,13.843750000,488.937500000,10345,12345,line_size_l1_stride64_footprint65536_raw.csv
64,131072,131072,2048,1000000,64,64000000,16.392505156,16.312500000,2.425311046,15.781250000,16.875000000,15.093750000,17.750000000,14.000000000,826.312500000,6182,12345,line_size_l1_stride64_footprint131072_raw.csv
128,16384,16384,128,1000000,64,64000000,8.504779344,8.468750000,1.398947343,8.437500000,8.500000000,8.406250000,8.593750000,8.062500000,481.562500000,33357,12345,line_size_l1_stride128_footprint16384_raw.csv
128,32768,32768,256,1000000,64,64000000,9.111374531,9.093750000,2.555316900,8.968750000,9.187500000,8.750000000,9.343750000,8.500000000,1289.093750000,22520,12345,line_size_l1_stride128_footprint32768_raw.csv
128,65536,65536,512,1000000,64,64000000,14.616255469,14.625000000,1.864187523,14.531250000,14.656250000,14.343750000,14.718750000,13.750000000,491.031250000,45347,12345,line_size_l1_stride128_footprint65536_raw.csv
128,131072,131072,1024,1000000,64,64000000,16.681911281,16.593750000,2.126343388,16.031250000,17.218750000,15.406250000,18.062500000,14.375000000,240.343750000,3436,12345,line_size_l1_stride128_footprint131072_raw.csv
256,16384,16384,64,1000000,64,64000000,8.507670344,8.468750000,1.364829716,8.468750000,8.500000000,8.406250000,8.593750000,8.031250000,259.687500000,117138,12345,line_size_l1_stride256_footprint16384_raw.csv
256,32768,32768,128,1000000,64,64000000,9.067404188,9.031250000,1.572114645,8.968750000,9.093750000,8.843750000,9.343750000,8.375000000,492.062500000,72420,12345,line_size_l1_stride256_footprint32768_raw.csv
256,65536,65536,256,1000000,64,64000000,14.630112531,14.593750000,1.750118933,14.531250000,14.656250000,14.468750000,14.718750000,13.968750000,187.343750000,5783,12345,line_size_l1_stride256_footprint65536_raw.csv
256,131072,131072,512,1000000,64,64000000,16.615314969,16.562500000,2.562352860,16.093750000,17.031250000,15.500000000,17.687500000,14.437500000,869.656250000,3769,12345,line_size_l1_stride256_footprint131072_raw.csv
512,16384,16384,32,1000000,64,64000000,8.510821437,8.468750000,1.733637318,8.468750000,8.500000000,8.406250000,8.562500000,7.937500000,501.218750000,111301,12345,line_size_l1_stride512_footprint16384_raw.csv
512,32768,32768,64,1000000,64,64000000,10.087374594,10.000000000,1.570704197,9.968750000,10.031250000,9.906250000,10.781250000,9.218750000,487.375000000,101522,12345,line_size_l1_stride512_footprint32768_raw.csv
512,65536,65536,128,1000000,64,64000000,14.634923063,14.625000000,1.817429482,14.531250000,14.656250000,14.468750000,14.718750000,13.812500000,521.750000000,5405,12345,line_size_l1_stride512_footprint65536_raw.csv
512,131072,131072,256,1000000,64,64000000,16.608780875,16.562500000,2.162892741,16.218750000,16.906250000,15.718750000,17.437500000,14.656250000,493.281250000,8802,12345,line_size_l1_stride512_footprint131072_raw.csv
