stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8,1048576,1048576,131072,1000000,64,64000000,38.049691844,37.968750000,4.101813384,37.031250000,38.906250000,35.625000000,40.156250000,31.343750000,854.531250000,7025,12345,line_size_llc_stride8_footprint1048576_raw.csv
8,2097152,2097152,262144,1000000,64,64000000,41.655708063,41.593750000,3.891868358,40.875000000,42.281250000,39.687500000,43.281250000,36.625000000,1001.656250000,10912,12345,line_size_llc_stride8_footprint2097152_raw.csv
8,4194304,4194304,524288,1000000,64,64000000,44.790714875,43.843750000,4.876895453,43.093750000,45.718750000,42.093750000,49.500000000,39.375000000,1302.531250000,46609,12345,line_size_llc_stride8_footprint4194304_raw.csv
8,8388608,8388608,1048576,1000000,64,64000000,90.942879500,88.906250000,15.753697293,80.718750000,98.937500000,70.812500000,116.593750000,49.187500000,1354.062500000,18129,12345,line_size_llc_stride8_footprint8388608_raw.csv
16,1048576,1048576,65536,1000000,64,64000000,38.283623938,38.218750000,3.502246004,37.281250000,39.125000000,35.937500000,40.468750000,32.875000000,522.906250000,7023,12345,line_size_llc_stride16_footprint1048576_raw.csv
16,2097152,2097152,131072,1000000,64,64000000,41.914133250,41.843750000,3.777653612,41.125000000,42.531250000,40.000000000,43.500000000,36.812500000,549.812500000,11873,12345,line_size_llc_stride16_footprint2097152_raw.csv
16,4194304,4194304,262144,1000000,64,64000000,45.989852656,44.000000000,8.080178301,43.218750000,46.218750000,42.250000000,55.062500000,39.937500000,879.625000000,70385,12345,line_size_llc_stride16_footprint4194304_raw.csv
16,8388608,8388608,524288,1000000,64,64000000,94.811295063,92.718750000,16.132580199,84.156250000,103.156250000,74.062500000,121.343750000,47.781250000,924.250000000,18026,12345,line_size_llc_stride16_footprint8388608_raw.csv
32,1048576,1048576,32768,1000000,64,64000000,39.166061188,39.093750000,3.738951121,38.250000000,39.937500000,36.968750000,41.031250000,34.250000000,521.343750000,4960,12345,line_size_llc_stride32_footprint1048576_raw.csv
32,2097152,2097152,65536,1000000,64,64000000,42.313281813,42.250000000,3.938064778,41.562500000,42.906250000,40.500000000,43.843750000,38.218750000,851.531250000,8311,12345,line_size_llc_stride32_footprint2097152_raw.csv
32,4194304,4194304,131072,1000000,64,64000000,45.122210531,44.093750000,4.941805182,43.406250000,45.750000000,42.500000000,50.156250000,40.093750000,528.000000000,66972,12345,line_size_llc_stride32_footprint4194304_raw.csv
32,8388608,8388608,262144,1000000,64,64000000,110.959534750,108.312500000,19.339621022,98.437500000,120.343750000,86.656250000,142.375000000,60.218750000,1126.875000000,24102,12345,line_size_llc_stride32_footprint8388608_raw.csv
64,1048576,1048576,16384,1000000,64,64000000,40.768230031,40.687500000,3.694228505,39.875000000,41.437500000,38.812500000,42.562500000,36.718750000,519.718750000,3103,12345,line_size_llc_stride64_footprint1048576_raw.csv
64,2097152,2097152,32768,1000000,64,64000000,43.173373062,43.093750000,4.232961890,42.500000000,43.656250000,41.656250000,44.437500000,38.968750000,861.531250000,7449,12345,line_size_llc_stride64_footprint2097152_raw.csv
64,4194304,4194304,65536,1000000,64,64000000,48.689394406,47.375000000,6.741531106,44.687500000,50.500000000,43.468750000,58.375000000,41.375000000,814.718750000,45282,12345,line_size_llc_stride64_footprint4194304_raw.csv
64,8388608,8388608,131072,1000000,64,64000000,136.208263031,134.250000000,20.075410343,122.781250000,147.406250000,108.562500000,169.031250000,78.187500000,1231.156250000,13688,12345,line_size_llc_stride64_footprint8388608_raw.csv
128,1048576,1048576,8192,1000000,64,64000000,43.112875594,43.062500000,3.730308421,42.562500000,43.531250000,41.781250000,44.125000000,40.187500000,865.937500000,5942,12345,line_size_llc_stride128_footprint1048576_raw.csv
128,2097152,2097152,16384,1000000,64,64000000,44.206223844,44.093750000,3.573022905,43.656250000,44.531250000,43.156250000,45.062500000,41.718750000,554.343750000,4366,12345,line_size_llc_stride128_footprint2097152_raw.csv
128,4194304,4194304,32768,1000000,64,64000000,45.716058531,44.812500000,5.128659469,44.375000000,45.406250000,43.875000000,50.031250000,42.312500000,878.218750000,176625,12345,line_size_llc_stride128_footprint4194304_raw.csv
128,8388608,8388608,65536,1000000,64,64000000,104.344616062,101.625000000,23.276609367,88.531250000,116.875000000,72.437500000,144.937500000,46.062500000,936.000000000,21062,12345,line_size_llc_stride128_footprint8388608_raw.csv
256,1048576,1048576,4096,1000000,64,64000000,43.441501719,43.312500000,3.986876452,42.937500000,43.718750000,42.437500000,44.312500000,41.312500000,1003.531250000,6892,12345,line_size_llc_stride256_footprint1048576_raw.csv
256,2097152,2097152,8192,1000000,64,64000000,44.298887313,44.187500000,3.725874417,43.781250000,44.593750000,43.312500000,45.093750000,42.468750000,539.781250000,4328,12345,line_size_llc_stride256_footprint2097152_raw.csv
256,4194304,4194304,16384,1000000,64,64000000,48.656452219,47.687500000,6.065936743,45.000000000,50.562500000,44.125000000,57.312500000,42.875000000,535.218750000,39883,12345,line_size_llc_stride256_footprint4194304_raw.csv
256,8388608,8388608,32768,1000000,64,64000000,104.449419562,102.906250000,17.386830167,93.093750000,114.000000000,80.437500000,132.406250000,47.906250000,910.343750000,13959,12345,line_size_llc_stride256_footprint8388608_raw.csv
512,1048576,1048576,2048,1000000,64,64000000,43.475019437,43.375000000,3.461795527,42.875000000,43.875000000,42.281250000,44.531250000,41.437500000,526.125000000,1227,12345,line_size_llc_stride512_footprint1048576_raw.csv
