set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
131072,1,1000000,64,64000000,8.525733031,8.468750000,1.754077552,8.437500000,8.593750000,8.406250000,8.625000000,8.031250000,707.218750000,7755,12345,ookay_assoc_l2_setstride131072_ways1_raw.csv
131072,2,1000000,64,64000000,8.529180437,8.500000000,1.613414722,8.437500000,8.593750000,8.406250000,8.656250000,8.031250000,777.781250000,10206,12345,ookay_assoc_l2_setstride131072_ways2_raw.csv
131072,3,1000000,64,64000000,8.507548531,8.468750000,1.557465616,8.437500000,8.500000000,8.406250000,8.593750000,7.968750000,479.625000000,38057,12345,ookay_assoc_l2_setstride131072_ways3_raw.csv
131072,4,1000000,64,64000000,8.534857406,8.500000000,1.488103070,8.468750000,8.500000000,8.406250000,8.875000000,8.093750000,489.531250000,199118,12345,ookay_assoc_l2_setstride131072_ways4_raw.csv
131072,5,1000000,64,64000000,16.172648500,16.125000000,1.949759914,16.125000000,16.156250000,16.062500000,16.218750000,15.718750000,503.031250000,124003,12345,ookay_assoc_l2_setstride131072_ways5_raw.csv
131072,6,1000000,64,64000000,16.169263625,16.125000000,1.954649857,16.093750000,16.156250000,16.062500000,16.187500000,15.687500000,489.093750000,10199,12345,ookay_assoc_l2_setstride131072_ways6_raw.csv
131072,7,1000000,64,64000000,16.176997406,16.125000000,2.308546841,16.125000000,16.156250000,16.062500000,16.218750000,15.750000000,811.468750000,134304,12345,ookay_assoc_l2_setstride131072_ways7_raw.csv
131072,8,1000000,64,64000000,16.823255562,16.781250000,2.515583084,16.750000000,16.812500000,16.718750000,16.843750000,16.406250000,823.406250000,12615,12345,ookay_assoc_l2_setstride131072_ways8_raw.csv
131072,9,1000000,64,64000000,22.203870313,22.156250000,2.194940376,22.125000000,22.187500000,22.093750000,22.218750000,21.281250000,500.000000000,9590,12345,ookay_assoc_l2_setstride131072_ways9_raw.csv
131072,10,1000000,64,64000000,22.205338625,22.156250000,2.197837408,22.125000000,22.187500000,22.093750000,22.218750000,21.875000000,500.218750000,9119,12345,ookay_assoc_l2_setstride131072_ways10_raw.csv
131072,11,1000000,64,64000000,22.205160844,22.156250000,2.310470788,22.125000000,22.187500000,22.093750000,22.218750000,21.843750000,502.406250000,9310,12345,ookay_assoc_l2_setstride131072_ways11_raw.csv
131072,12,1000000,64,64000000,22.205249437,22.156250000,2.131702735,22.125000000,22.187500000,22.093750000,22.218750000,21.875000000,214.500000000,9313,12345,ookay_assoc_l2_setstride131072_ways12_raw.csv
131072,13,1000000,64,64000000,22.207802500,22.156250000,2.280847891,22.125000000,22.187500000,22.093750000,22.218750000,21.812500000,527.250000000,9432,12345,ookay_assoc_l2_setstride131072_ways13_raw.csv
131072,14,1000000,64,64000000,22.206985438,22.156250000,2.682115489,22.125000000,22.187500000,22.093750000,22.218750000,21.875000000,979.031250000,9357,12345,ookay_assoc_l2_setstride131072_ways14_raw.csv
131072,15,1000000,64,64000000,22.204548687,22.156250000,2.284351641,22.125000000,22.187500000,22.093750000,22.218750000,21.906250000,527.937500000,9421,12345,ookay_assoc_l2_setstride131072_ways15_raw.csv
131072,16,1000000,64,64000000,22.208054500,22.156250000,2.321909065,22.125000000,22.187500000,22.093750000,22.218750000,21.875000000,499.281250000,9517,12345,ookay_assoc_l2_setstride131072_ways16_raw.csv
131072,17,1000000,64,64000000,22.208429406,22.156250000,2.863977899,22.125000000,22.187500000,22.093750000,22.218750000,21.843750000,935.093750000,9340,12345,ookay_assoc_l2_setstride131072_ways17_raw.csv
131072,18,1000000,64,64000000,22.206614656,22.156250000,2.263272817,22.125000000,22.187500000,22.093750000,22.218750000,21.875000000,499.375000000,9574,12345,ookay_assoc_l2_setstride131072_ways18_raw.csv
131072,19,1000000,64,64000000,22.210733813,22.156250000,2.252690228,22.125000000,22.187500000,22.093750000,22.250000000,21.843750000,530.718750000,20849,12345,ookay_assoc_l2_setstride131072_ways19_raw.csv
131072,20,1000000,64,64000000,22.154762844,22.156250000,2.237049926,22.093750000,22.187500000,21.843750000,22.218750000,21.718750000,499.812500000,164587,12345,ookay_assoc_l2_setstride131072_ways20_raw.csv
131072,21,1000000,64,64000000,22.213795187,22.156250000,2.810811899,22.125000000,22.187500000,22.093750000,22.250000000,21.906250000,841.218750000,20770,12345,ookay_assoc_l2_setstride131072_ways21_raw.csv
131072,22,1000000,64,64000000,22.206765688,22.156250000,2.297176346,22.125000000,22.187500000,22.093750000,22.218750000,21.843750000,526.937500000,11028,12345,ookay_assoc_l2_setstride131072_ways22_raw.csv
131072,23,1000000,64,64000000,22.209218531,22.156250000,2.133050603,22.125000000,22.187500000,22.093750000,22.250000000,21.875000000,495.625000000,20775,12345,ookay_assoc_l2_setstride131072_ways23_raw.csv
131072,24,1000000,64,64000000,22.207353156,22.156250000,2.309919076,22.125000000,22.187500000,22.093750000,22.218750000,21.875000000,501.156250000,11518,12345,ookay_assoc_l2_setstride131072_ways24_raw.csv
