set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
1048576,1,1000000,64,64000000,8.524369687,8.468750000,1.557703671,8.437500000,8.562500000,8.406250000,8.656250000,8.031250000,507.468750000,11331,12345,ookay_assoc_llc_setstride1048576_ways1_raw.csv
1048576,2,1000000,64,64000000,8.529049719,8.468750000,1.937931606,8.437500000,8.593750000,8.406250000,8.625000000,8.062500000,816.500000000,9783,12345,ookay_assoc_llc_setstride1048576_ways2_raw.csv
1048576,3,1000000,64,64000000,8.508144187,8.468750000,1.513362584,8.468750000,8.500000000,8.406250000,8.593750000,7.968750000,479.812500000,132540,12345,ookay_assoc_llc_setstride1048576_ways3_raw.csv
1048576,4,1000000,64,64000000,8.534818437,8.500000000,1.439491180,8.468750000,8.500000000,8.406250000,8.875000000,8.031250000,212.812500000,199676,12345,ookay_assoc_llc_setstride1048576_ways4_raw.csv
1048576,5,1000000,64,64000000,16.170259344,16.125000000,1.878691360,16.093750000,16.156250000,16.062500000,16.218750000,15.718750000,494.843750000,10524,12345,ookay_assoc_llc_setstride1048576_ways5_raw.csv
1048576,6,1000000,64,64000000,16.169307219,16.125000000,1.981238573,16.093750000,16.156250000,16.062500000,16.187500000,15.687500000,495.843750000,10122,12345,ookay_assoc_llc_setstride1048576_ways6_raw.csv
1048576,7,1000000,64,64000000,16.174816906,16.125000000,2.094995893,16.125000000,16.156250000,16.062500000,16.218750000,15.718750000,837.281250000,120794,12345,ookay_assoc_llc_setstride1048576_ways7_raw.csv
1048576,8,1000000,64,64000000,16.819855812,16.781250000,2.194253461,16.750000000,16.812500000,16.718750000,16.843750000,16.187500000,812.875000000,12340,12345,ookay_assoc_llc_setstride1048576_ways8_raw.csv
1048576,9,1000000,64,64000000,22.208884938,22.156250000,2.169668215,22.125000000,22.187500000,22.093750000,22.250000000,20.968750000,512.218750000,9471,12345,ookay_assoc_llc_setstride1048576_ways9_raw.csv
1048576,10,1000000,64,64000000,22.208375063,22.156250000,2.722380825,22.125000000,22.187500000,22.093750000,22.218750000,21.875000000,908.000000000,9489,12345,ookay_assoc_llc_setstride1048576_ways10_raw.csv
1048576,11,1000000,64,64000000,22.207297500,22.156250000,2.246670636,22.125000000,22.187500000,22.093750000,22.218750000,21.812500000,503.218750000,9845,12345,ookay_assoc_llc_setstride1048576_ways11_raw.csv
1048576,12,1000000,64,64000000,22.131221250,22.125000000,2.212377081,21.968750000,22.187500000,21.843750000,22.218750000,21.687500000,498.937500000,6482,12345,ookay_assoc_llc_setstride1048576_ways12_raw.csv
1048576,13,1000000,64,64000000,22.207356094,22.156250000,2.233992254,22.125000000,22.187500000,22.093750000,22.218750000,21.875000000,501.781250000,9580,12345,ookay_assoc_llc_setstride1048576_ways13_raw.csv
1048576,14,1000000,64,64000000,22.206021938,22.156250000,2.283202651,22.125000000,22.187500000,22.093750000,22.218750000,21.906250000,502.593750000,10845,12345,ookay_assoc_llc_setstride1048576_ways14_raw.csv
1048576,15,1000000,64,64000000,23.414483469,23.312500000,2.469391673,23.218750000,23.625000000,22.781250000,23.906250000,22.312500000,827.625000000,44035,12345,ookay_assoc_llc_setstride1048576_ways15_raw.csv
1048576,16,1000000,64,64000000,27.176989656,27.125000000,2.464530995,26.968750000,27.281250000,26.718750000,27.500000000,25.906250000,529.843750000,4541,12345,ookay_assoc_llc_setstride1048576_ways16_raw.csv
1048576,17,1000000,64,64000000,30.227320969,30.125000000,3.154477223,29.906250000,30.437500000,29.656250000,30.750000000,27.656250000,987.906250000,1561,12345,ookay_assoc_llc_setstride1048576_ways17_raw.csv
1048576,18,1000000,64,64000000,31.204806844,31.187500000,2.656039479,30.468750000,31.781250000,30.062500000,32.281250000,29.718750000,508.843750000,636,12345,ookay_assoc_llc_setstride1048576_ways18_raw.csv
1048576,19,1000000,64,64000000,31.890609688,31.843750000,2.869428396,31.593750000,32.062500000,31.250000000,32.406250000,30.625000000,827.687500000,5818,12345,ookay_assoc_llc_setstride1048576_ways19_raw.csv
1048576,20,1000000,64,64000000,32.754349187,32.687500000,2.633533701,32.500000000,32.875000000,32.250000000,33.156250000,31.968750000,535.187500000,2262,12345,ookay_assoc_llc_setstride1048576_ways20_raw.csv
1048576,21,1000000,64,64000000,33.347442844,33.281250000,2.860532547,33.093750000,33.468750000,32.843750000,33.718750000,32.500000000,842.500000000,2456,12345,ookay_assoc_llc_setstride1048576_ways21_raw.csv
1048576,22,1000000,64,64000000,33.755906656,33.687500000,3.364541764,33.375000000,34.000000000,33.093750000,34.343750000,32.781250000,1318.031250000,1031,12345,ookay_assoc_llc_setstride1048576_ways22_raw.csv
1048576,23,1000000,64,64000000,34.411257656,34.250000000,2.853393976,34.000000000,34.656250000,33.687500000,35.250000000,33.187500000,538.031250000,2545,12345,ookay_assoc_llc_setstride1048576_ways23_raw.csv
1048576,24,1000000,64,64000000,34.848898781,34.593750000,2.977865599,34.250000000,35.406250000,33.906250000,35.875000000,33.625000000,538.468750000,832,12345,ookay_assoc_llc_setstride1048576_ways24_raw.csv
