mode,requested_bytes,actual_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
random,4194304,4194304,524288,1000000,64,64000000,27.213400125,27.000000000,3.581652915,26.625000000,27.750000000,25.875000000,28.500000000,23.250000000,2538.000000000,14253,12345,skylark_capacity_coarse_4194304_random_raw.csv
random,131072,131072,16384,1000000,64,64000000,10.198999500,10.125000000,1.354117218,10.125000000,10.500000000,9.375000000,10.875000000,8.250000000,247.125000000,56928,12345,skylark_capacity_coarse_131072_random_raw.csv
random,16384,16384,2048,1000000,64,64000000,5.602908000,5.625000000,1.033836097,5.625000000,5.625000000,5.250000000,5.625000000,4.125000000,361.500000000,138136,12345,skylark_capacity_coarse_16384_random_raw.csv
random,67108864,67108864,8388608,1000000,64,64000000,220.220587875,219.750000000,17.233914181,209.250000000,230.250000000,193.875000000,246.000000000,142.125000000,1251.750000000,14428,12345,skylark_capacity_coarse_67108864_random_raw.csv
random,8192,8192,1024,1000000,64,64000000,5.538171000,5.625000000,1.277891665,5.625000000,5.625000000,5.250000000,5.625000000,4.125000000,837.375000000,213727,12345,skylark_capacity_coarse_8192_random_raw.csv
random,262144,262144,32768,1000000,64,64000000,11.358310125,11.250000000,1.461417154,10.875000000,11.625000000,10.500000000,12.000000000,9.375000000,175.500000000,6246,12345,skylark_capacity_coarse_262144_random_raw.csv
random,16777216,16777216,2097152,1000000,64,64000000,33.199978875,29.250000000,14.137549525,28.500000000,32.625000000,28.125000000,43.125000000,26.250000000,719.625000000,80427,12345,skylark_capacity_coarse_16777216_random_raw.csv
random,524288,524288,65536,1000000,64,64000000,14.787647625,14.625000000,1.883261391,14.250000000,15.375000000,13.500000000,16.125000000,11.250000000,449.250000000,14934,12345,skylark_capacity_coarse_524288_random_raw.csv
random,33554432,33554432,4194304,1000000,64,64000000,161.189372250,160.125000000,19.923680033,148.125000000,172.500000000,131.625000000,192.750000000,85.875000000,827.250000000,19369,12345,skylark_capacity_coarse_33554432_random_raw.csv
random,2097152,2097152,262144,1000000,64,64000000,25.472667375,25.500000000,2.407847922,24.750000000,26.250000000,23.625000000,27.000000000,20.625000000,281.250000000,8306,12345,skylark_capacity_coarse_2097152_random_raw.csv
random,4096,4096,512,1000000,64,64000000,5.487612750,5.625000000,0.937158253,5.625000000,5.625000000,4.500000000,5.625000000,4.125000000,171.375000000,179796,12345,skylark_capacity_coarse_4096_random_raw.csv
random,8388608,8388608,1048576,1000000,64,64000000,29.379627750,29.250000000,2.542718947,28.875000000,29.625000000,28.125000000,30.375000000,25.875000000,637.875000000,25378,12345,skylark_capacity_coarse_8388608_random_raw.csv
random,65536,65536,8192,1000000,64,64000000,8.995630875,9.000000000,1.275342793,8.625000000,9.375000000,8.250000000,9.750000000,6.375000000,344.250000000,5710,12345,skylark_capacity_coarse_65536_random_raw.csv
random,32768,32768,4096,1000000,64,64000000,5.697894750,5.625000000,0.924692833,5.625000000,5.625000000,5.250000000,6.000000000,4.125000000,166.875000000,327193,12345,skylark_capacity_coarse_32768_random_raw.csv
random,1048576,1048576,131072,1000000,64,64000000,21.548213250,21.375000000,2.433885281,20.625000000,22.125000000,19.500000000,23.625000000,16.125000000,517.875000000,14082,12345,skylark_capacity_coarse_1048576_random_raw.csv
