set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
32768,1,1000000,128,128000000,5.709258937,5.625000000,0.860653610,5.625000000,5.625000000,5.437500000,6.937500000,5.062500000,200.250000000,254614,12345,skylark_l2_assoc_setstride32768_ways1_raw.csv
32768,2,1000000,128,128000000,5.768584500,5.625000000,0.822117053,5.625000000,5.812500000,5.437500000,6.937500000,5.062500000,94.875000000,64906,12345,skylark_l2_assoc_setstride32768_ways2_raw.csv
32768,3,1000000,128,128000000,5.796038250,5.625000000,0.903719990,5.625000000,5.812500000,5.437500000,6.937500000,4.500000000,278.062500000,63243,12345,skylark_l2_assoc_setstride32768_ways3_raw.csv
32768,4,1000000,128,128000000,5.781818625,5.625000000,0.842007411,5.625000000,5.812500000,5.437500000,6.937500000,4.875000000,186.562500000,55570,12345,skylark_l2_assoc_setstride32768_ways4_raw.csv
32768,5,1000000,128,128000000,5.679576375,5.625000000,0.794985449,5.625000000,5.625000000,5.437500000,6.937500000,4.875000000,73.125000000,361556,12345,skylark_l2_assoc_setstride32768_ways5_raw.csv
32768,6,1000000,128,128000000,5.738794687,5.625000000,0.912223111,5.437500000,6.000000000,5.062500000,6.375000000,4.687500000,305.812500000,41591,12345,skylark_l2_assoc_setstride32768_ways6_raw.csv
32768,7,1000000,128,128000000,5.613657000,5.625000000,0.849949243,5.250000000,5.812500000,5.062500000,6.375000000,4.687500000,80.437500000,41978,12345,skylark_l2_assoc_setstride32768_ways7_raw.csv
32768,8,1000000,128,128000000,5.641257188,5.625000000,0.887332090,5.250000000,5.625000000,5.250000000,6.750000000,5.062500000,85.500000000,74371,12345,skylark_l2_assoc_setstride32768_ways8_raw.csv
32768,9,1000000,128,128000000,18.971035312,18.750000000,1.756298274,18.562500000,18.750000000,18.562500000,23.250000000,13.875000000,291.000000000,80736,12345,skylark_l2_assoc_setstride32768_ways9_raw.csv
32768,10,1000000,128,128000000,10.281577500,10.125000000,1.191816251,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,296.812500000,121186,12345,skylark_l2_assoc_setstride32768_ways10_raw.csv
32768,11,1000000,128,128000000,10.282047000,10.125000000,1.144648883,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,96.375000000,121095,12345,skylark_l2_assoc_setstride32768_ways11_raw.csv
32768,12,1000000,128,128000000,10.271042063,10.125000000,1.213181302,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,341.250000000,117174,12345,skylark_l2_assoc_setstride32768_ways12_raw.csv
32768,13,1000000,128,128000000,10.267401375,10.125000000,1.199035806,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,310.312500000,115765,12345,skylark_l2_assoc_setstride32768_ways13_raw.csv
32768,14,1000000,128,128000000,10.286869875,10.125000000,1.177457367,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,259.500000000,121814,12345,skylark_l2_assoc_setstride32768_ways14_raw.csv
32768,15,1000000,128,128000000,10.281006375,10.125000000,1.216104583,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,284.250000000,120581,12345,skylark_l2_assoc_setstride32768_ways15_raw.csv
32768,16,1000000,128,128000000,10.271665875,10.125000000,1.171978556,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,263.437500000,117463,12345,skylark_l2_assoc_setstride32768_ways16_raw.csv
32768,17,1000000,128,128000000,10.254735000,10.125000000,1.109891672,10.125000000,10.125000000,9.937500000,10.312500000,9.937500000,246.937500000,109005,12345,skylark_l2_assoc_setstride32768_ways17_raw.csv
32768,18,1000000,128,128000000,10.285617937,10.125000000,1.157081746,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,199.500000000,122693,12345,skylark_l2_assoc_setstride32768_ways18_raw.csv
32768,19,1000000,128,128000000,10.314784312,10.125000000,1.175256070,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,147.937500000,134333,12345,skylark_l2_assoc_setstride32768_ways19_raw.csv
32768,20,1000000,128,128000000,10.281608250,10.125000000,1.142022444,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,155.812500000,120829,12345,skylark_l2_assoc_setstride32768_ways20_raw.csv
32768,21,1000000,128,128000000,10.295994188,10.125000000,1.164562457,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,100.125000000,126318,12345,skylark_l2_assoc_setstride32768_ways21_raw.csv
32768,22,1000000,128,128000000,10.306905750,10.125000000,1.216975101,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,187.875000000,130094,12345,skylark_l2_assoc_setstride32768_ways22_raw.csv
32768,23,1000000,128,128000000,10.290365813,10.125000000,1.150011545,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,97.312500000,122598,12345,skylark_l2_assoc_setstride32768_ways23_raw.csv
32768,24,1000000,128,128000000,10.277427750,10.125000000,1.409259405,10.125000000,10.125000000,9.937500000,12.562500000,9.937500000,620.812500000,117837,12345,skylark_l2_assoc_setstride32768_ways24_raw.csv
