set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
4096,1,1000000,128,128000000,10.669221445,10.531250000,3.406389382,10.531250000,10.531250000,10.500000000,10.968750000,10.500000000,3127.187500000,295448,12345,sunbird_assoc_setstride4096_ways1_raw.csv
4096,2,1000000,128,128000000,10.562723063,10.531250000,8.389805670,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,5389.500000000,253161,12345,sunbird_assoc_setstride4096_ways2_raw.csv
4096,3,1000000,128,128000000,10.564481344,10.531250000,8.155823705,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,5067.937500000,253380,12345,sunbird_assoc_setstride4096_ways3_raw.csv
4096,4,1000000,128,128000000,10.565201031,10.531250000,9.879604250,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,8300.250000000,253648,12345,sunbird_assoc_setstride4096_ways4_raw.csv
4096,5,1000000,128,128000000,10.557342281,10.531250000,6.361710340,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,5036.250000000,254098,12345,sunbird_assoc_setstride4096_ways5_raw.csv
4096,6,1000000,128,128000000,10.570477656,10.531250000,9.571404278,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,5121.750000000,254543,12345,sunbird_assoc_setstride4096_ways6_raw.csv
4096,7,1000000,128,128000000,10.562030312,10.531250000,7.327271904,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,4974.812500000,254261,12345,sunbird_assoc_setstride4096_ways7_raw.csv
4096,8,1000000,128,128000000,10.575345375,10.531250000,9.424069656,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,5043.593750000,263608,12345,sunbird_assoc_setstride4096_ways8_raw.csv
4096,9,1000000,128,128000000,13.113667562,13.062500000,9.274444003,13.031250000,13.093750000,13.031250000,13.093750000,11.843750000,5118.875000000,76013,12345,sunbird_assoc_setstride4096_ways9_raw.csv
4096,10,1000000,128,128000000,17.551498094,17.500000000,9.897832530,17.437500000,17.562500000,17.437500000,17.625000000,14.875000000,8270.562500000,18099,12345,sunbird_assoc_setstride4096_ways10_raw.csv
4096,11,1000000,128,128000000,17.576144469,17.500000000,11.650428745,17.500000000,17.593750000,17.437500000,17.625000000,17.437500000,10350.687500000,3215,12345,sunbird_assoc_setstride4096_ways11_raw.csv
4096,12,1000000,128,128000000,17.576064187,17.500000000,8.411074683,17.468750000,17.593750000,17.437500000,17.625000000,17.437500000,5046.468750000,2292,12345,sunbird_assoc_setstride4096_ways12_raw.csv
4096,13,1000000,128,128000000,17.575004375,17.500000000,8.475489275,17.500000000,17.593750000,17.437500000,17.625000000,17.437500000,5199.906250000,3286,12345,sunbird_assoc_setstride4096_ways13_raw.csv
4096,14,1000000,128,128000000,17.574638969,17.500000000,8.401785442,17.500000000,17.562500000,17.437500000,17.625000000,17.437500000,5112.125000000,8904,12345,sunbird_assoc_setstride4096_ways14_raw.csv
4096,15,1000000,128,128000000,17.575421969,17.500000000,8.373912991,17.468750000,17.593750000,17.437500000,17.625000000,17.437500000,5176.156250000,2331,12345,sunbird_assoc_setstride4096_ways15_raw.csv
4096,16,1000000,128,128000000,17.574555656,17.500000000,8.230880829,17.468750000,17.593750000,17.437500000,17.625000000,17.437500000,5089.750000000,2340,12345,sunbird_assoc_setstride4096_ways16_raw.csv
4096,17,1000000,128,128000000,17.574292031,17.500000000,8.307439108,17.500000000,17.562500000,17.437500000,17.625000000,17.437500000,5050.187500000,8759,12345,sunbird_assoc_setstride4096_ways17_raw.csv
4096,18,1000000,128,128000000,17.580971188,17.500000000,9.766765806,17.468750000,17.593750000,17.437500000,17.625000000,17.437500000,5334.718750000,2470,12345,sunbird_assoc_setstride4096_ways18_raw.csv
4096,19,1000000,128,128000000,17.579601687,17.500000000,8.876462710,17.468750000,17.593750000,17.437500000,17.625000000,17.187500000,5448.906250000,2544,12345,sunbird_assoc_setstride4096_ways19_raw.csv
4096,20,1000000,128,128000000,17.581752344,17.500000000,9.002230609,17.500000000,17.562500000,17.437500000,17.625000000,17.343750000,5066.906250000,9787,12345,sunbird_assoc_setstride4096_ways20_raw.csv
4096,21,1000000,128,128000000,17.580651156,17.500000000,9.603340956,17.437500000,17.593750000,17.437500000,17.625000000,17.437500000,5778.375000000,2184,12345,sunbird_assoc_setstride4096_ways21_raw.csv
4096,22,1000000,128,128000000,17.575728562,17.500000000,8.388372945,17.437500000,17.593750000,17.437500000,17.625000000,17.437500000,5086.312500000,2092,12345,sunbird_assoc_setstride4096_ways22_raw.csv
4096,23,1000000,128,128000000,17.582576219,17.500000000,7.675473118,17.468750000,17.593750000,17.437500000,17.625000000,17.062500000,4777.281250000,4670,12345,sunbird_assoc_setstride4096_ways23_raw.csv
4096,24,1000000,128,128000000,17.586610219,17.500000000,9.827608048,17.468750000,17.593750000,17.437500000,17.625000000,17.437500000,5272.687500000,4549,12345,sunbird_assoc_setstride4096_ways24_raw.csv
