set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
131072,1,1000000,128,128000000,10.607760664,10.531250000,7.637488225,10.531250000,10.531250000,10.500000000,10.531250000,10.468750000,5050.468750000,275149,12345,sunbird_l3_assoc_setstride131072_ways1_raw.csv
131072,2,1000000,128,128000000,10.564455687,10.531250000,8.354718951,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,5367.718750000,253321,12345,sunbird_l3_assoc_setstride131072_ways2_raw.csv
131072,3,1000000,128,128000000,10.564909344,10.531250000,9.387412932,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,6756.406250000,252702,12345,sunbird_l3_assoc_setstride131072_ways3_raw.csv
131072,4,1000000,128,128000000,10.553337781,10.531250000,5.403362388,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,5285.500000000,253489,12345,sunbird_l3_assoc_setstride131072_ways4_raw.csv
131072,5,1000000,128,128000000,10.557156781,10.531250000,5.302924820,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,3690.000000000,254103,12345,sunbird_l3_assoc_setstride131072_ways5_raw.csv
131072,6,1000000,128,128000000,10.567713719,10.531250000,11.867269859,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,10603.968750000,254147,12345,sunbird_l3_assoc_setstride131072_ways6_raw.csv
131072,7,1000000,128,128000000,10.553669688,10.531250000,5.398690585,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,5306.906250000,253841,12345,sunbird_l3_assoc_setstride131072_ways7_raw.csv
131072,8,1000000,128,128000000,10.564893781,10.531250000,6.527483619,10.531250000,10.531250000,10.500000000,10.531250000,10.500000000,5153.875000000,263222,12345,sunbird_l3_assoc_setstride131072_ways8_raw.csv
131072,9,1000000,128,128000000,13.118402813,13.062500000,8.361825797,13.031250000,13.062500000,13.031250000,13.093750000,11.656250000,5361.656250000,72860,12345,sunbird_l3_assoc_setstride131072_ways9_raw.csv
131072,10,1000000,128,128000000,44.014963437,43.937500000,11.792433307,43.843750000,44.000000000,43.687500000,44.062500000,36.687500000,5216.437500000,11498,12345,sunbird_l3_assoc_setstride131072_ways10_raw.csv
131072,11,1000000,128,128000000,43.518140156,43.406250000,10.561239970,43.250000000,43.531250000,43.125000000,43.687500000,42.812500000,5289.812500000,2559,12345,sunbird_l3_assoc_setstride131072_ways11_raw.csv
131072,12,1000000,128,128000000,45.404586500,45.375000000,18.847092394,45.000000000,45.500000000,44.750000000,45.500000000,44.093750000,8620.218750000,2504,12345,sunbird_l3_assoc_setstride131072_ways12_raw.csv
131072,13,1000000,128,128000000,45.566992102,45.406250000,13.352472996,45.343750000,45.531250000,45.218750000,45.687500000,45.187500000,6801.125000000,3789,12345,sunbird_l3_assoc_setstride131072_ways13_raw.csv
131072,14,1000000,128,128000000,46.644085125,46.531250000,12.021986641,46.500000000,46.593750000,46.218750000,46.656250000,45.062500000,5356.968750000,149807,12345,sunbird_l3_assoc_setstride131072_ways14_raw.csv
131072,15,1000000,128,128000000,46.816350375,46.531250000,114.150564815,46.375000000,46.687500000,46.156250000,46.875000000,45.531250000,112682.906250000,3579,12345,sunbird_l3_assoc_setstride131072_ways15_raw.csv
131072,16,1000000,128,128000000,47.005040813,46.906250000,12.349323292,46.875000000,46.968750000,46.843750000,46.968750000,45.312500000,5235.125000000,56073,12345,sunbird_l3_assoc_setstride131072_ways16_raw.csv
131072,17,1000000,128,128000000,47.176370156,47.031250000,11.860182072,46.906250000,47.125000000,46.812500000,47.312500000,46.375000000,5258.187500000,3492,12345,sunbird_l3_assoc_setstride131072_ways17_raw.csv
131072,18,1000000,128,128000000,47.249228000,47.125000000,14.583853046,47.093750000,47.218750000,46.781250000,47.312500000,45.406250000,6777.375000000,148166,12345,sunbird_l3_assoc_setstride131072_ways18_raw.csv
131072,19,1000000,128,128000000,47.959161250,47.843750000,11.979447280,47.718750000,47.875000000,47.593750000,48.093750000,47.531250000,5228.812500000,46997,12345,sunbird_l3_assoc_setstride131072_ways19_raw.csv
131072,20,1000000,128,128000000,47.851658281,47.750000000,12.280770012,47.500000000,47.843750000,47.437500000,47.937500000,47.406250000,5218.500000000,2758,12345,sunbird_l3_assoc_setstride131072_ways20_raw.csv
131072,21,1000000,128,128000000,48.395325781,48.250000000,19.318054512,48.187500000,48.375000000,48.000000000,48.468750000,46.625000000,11450.437500000,37461,12345,sunbird_l3_assoc_setstride131072_ways21_raw.csv
131072,22,1000000,128,128000000,47.676417375,47.718750000,11.887137509,47.500000000,47.781250000,46.531250000,48.062500000,46.156250000,5233.031250000,195827,12345,sunbird_l3_assoc_setstride131072_ways22_raw.csv
131072,23,1000000,128,128000000,47.537514750,47.406250000,12.353508746,47.281250000,47.531250000,47.187500000,47.625000000,47.031250000,5231.093750000,2884,12345,sunbird_l3_assoc_setstride131072_ways23_raw.csv
