set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8192,1,1000000,64,64000000,7.113969984,7.000000000,7.405669332,6.890625000,7.156250000,6.718750000,7.468750000,6.296875000,1135.812500000,4641,12345,upgrade_assoc_l1_setstride8192_ways1_raw.csv
8192,2,1000000,64,64000000,7.077870969,6.984375000,8.041075694,6.859375000,7.125000000,6.703125000,7.171875000,6.359375000,1089.593750000,4401,12345,upgrade_assoc_l1_setstride8192_ways2_raw.csv
8192,3,1000000,64,64000000,7.013426359,6.875000000,9.987910468,6.734375000,6.984375000,6.703125000,7.031250000,6.281250000,1322.218750000,8383,12345,upgrade_assoc_l1_setstride8192_ways3_raw.csv
8192,4,1000000,64,64000000,7.013467000,6.859375000,10.028218220,6.734375000,6.984375000,6.703125000,7.031250000,6.296875000,1339.046875000,8217,12345,upgrade_assoc_l1_setstride8192_ways4_raw.csv
8192,5,1000000,64,64000000,7.020417734,6.765625000,10.531024349,6.734375000,6.984375000,6.703125000,7.031250000,6.265625000,1069.843750000,7799,12345,upgrade_assoc_l1_setstride8192_ways5_raw.csv
8192,6,1000000,64,64000000,6.949471766,6.765625000,7.883488839,6.734375000,6.984375000,6.703125000,7.015625000,6.296875000,907.984375000,7172,12345,upgrade_assoc_l1_setstride8192_ways6_raw.csv
8192,7,1000000,64,64000000,6.955253203,6.890625000,7.338427013,6.734375000,6.984375000,6.703125000,7.031250000,6.296875000,999.734375000,7194,12345,upgrade_assoc_l1_setstride8192_ways7_raw.csv
8192,8,1000000,64,64000000,7.346336828,7.234375000,9.820085725,7.203125000,7.250000000,7.171875000,7.343750000,6.453125000,5605.296875000,66570,12345,upgrade_assoc_l1_setstride8192_ways8_raw.csv
8192,9,1000000,64,64000000,11.586946141,11.437500000,11.123930113,11.406250000,11.468750000,11.125000000,11.500000000,8.593750000,899.796875000,243772,12345,upgrade_assoc_l1_setstride8192_ways9_raw.csv
8192,10,1000000,64,64000000,11.656403594,11.453125000,11.117641961,11.437500000,11.468750000,11.406250000,11.500000000,11.062500000,1068.000000000,33191,12345,upgrade_assoc_l1_setstride8192_ways10_raw.csv
8192,11,1000000,64,64000000,11.773757484,11.687500000,11.509187539,11.468750000,11.718750000,11.421875000,11.750000000,11.078125000,5526.765625000,1812,12345,upgrade_assoc_l1_setstride8192_ways11_raw.csv
8192,12,1000000,64,64000000,12.001469687,11.500000000,29.458076012,11.453125000,11.750000000,11.421875000,12.000000000,11.109375000,12868.750000000,3845,12345,upgrade_assoc_l1_setstride8192_ways12_raw.csv
8192,13,1000000,64,64000000,11.892774438,11.500000000,11.244857001,11.453125000,11.968750000,11.421875000,12.015625000,10.828125000,1100.875000000,1533,12345,upgrade_assoc_l1_setstride8192_ways13_raw.csv
8192,14,1000000,64,64000000,11.649381625,11.453125000,10.810133358,11.437500000,11.468750000,11.406250000,11.500000000,11.093750000,1035.484375000,39750,12345,upgrade_assoc_l1_setstride8192_ways14_raw.csv
8192,15,1000000,64,64000000,11.689584844,11.484375000,8.764172316,11.453125000,11.703125000,11.421875000,11.750000000,11.015625000,897.468750000,961,12345,upgrade_assoc_l1_setstride8192_ways15_raw.csv
8192,16,1000000,64,64000000,11.700727281,11.453125000,12.187673357,11.437500000,11.484375000,11.406250000,11.625000000,11.062500000,1027.718750000,57817,12345,upgrade_assoc_l1_setstride8192_ways16_raw.csv
8192,17,1000000,64,64000000,11.618590641,11.453125000,10.015531985,11.437500000,11.468750000,11.406250000,11.500000000,11.062500000,1184.562500000,30202,12345,upgrade_assoc_l1_setstride8192_ways17_raw.csv
8192,18,1000000,64,64000000,12.125944891,11.718750000,16.683504120,11.468750000,11.968750000,11.421875000,12.015625000,11.062500000,1196.875000000,1514,12345,upgrade_assoc_l1_setstride8192_ways18_raw.csv
8192,19,1000000,64,64000000,11.807476047,11.484375000,12.183960962,11.453125000,11.703125000,11.421875000,11.781250000,11.046875000,1240.515625000,12823,12345,upgrade_assoc_l1_setstride8192_ways19_raw.csv
8192,20,1000000,64,64000000,11.888479578,11.703125000,11.570694176,11.671875000,11.734375000,11.437500000,11.968750000,11.109375000,1178.078125000,280955,12345,upgrade_assoc_l1_setstride8192_ways20_raw.csv
8192,21,1000000,64,64000000,11.632346406,11.453125000,9.634914904,11.437500000,11.484375000,11.406250000,11.718750000,11.109375000,909.562500000,111732,12345,upgrade_assoc_l1_setstride8192_ways21_raw.csv
8192,22,1000000,64,64000000,11.718760078,11.484375000,9.245731076,11.453125000,11.703125000,11.421875000,11.781250000,11.187500000,1029.109375000,2478,12345,upgrade_assoc_l1_setstride8192_ways22_raw.csv
8192,23,1000000,64,64000000,11.799610125,11.500000000,11.699810073,11.453125000,11.718750000,11.421875000,11.843750000,11.109375000,1169.890625000,8066,12345,upgrade_assoc_l1_setstride8192_ways23_raw.csv
8192,24,1000000,64,64000000,11.684037266,11.453125000,10.927264508,11.437500000,11.484375000,11.406250000,11.750000000,11.093750000,904.328125000,155529,12345,upgrade_assoc_l1_setstride8192_ways24_raw.csv
