set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
2097152,1,1000000,64,64000000,7.091370109,6.984375000,8.417236788,6.859375000,7.125000000,6.703125000,7.234375000,6.328125000,1180.281250000,5410,12345,upgrade_assoc_llc_setstride2097152_ways1_raw.csv
2097152,2,1000000,64,64000000,6.995216453,6.968750000,8.020672511,6.734375000,6.984375000,6.703125000,7.031250000,6.296875000,1041.734375000,6968,12345,upgrade_assoc_llc_setstride2097152_ways2_raw.csv
2097152,3,1000000,64,64000000,6.975142312,6.937500000,8.238237265,6.734375000,6.984375000,6.703125000,7.015625000,6.328125000,1042.265625000,7845,12345,upgrade_assoc_llc_setstride2097152_ways3_raw.csv
2097152,4,1000000,64,64000000,6.979361422,6.765625000,8.756791824,6.734375000,6.984375000,6.703125000,7.062500000,6.359375000,1135.390625000,6506,12345,upgrade_assoc_llc_setstride2097152_ways4_raw.csv
2097152,5,1000000,64,64000000,12.985679672,12.812500000,8.987337313,12.781250000,12.843750000,12.750000000,13.093750000,12.031250000,1186.109375000,220124,12345,upgrade_assoc_llc_setstride2097152_ways5_raw.csv
2097152,6,1000000,64,64000000,12.992174156,12.781250000,12.275776629,12.781250000,12.812500000,12.750000000,12.843750000,12.437500000,5582.656250000,59183,12345,upgrade_assoc_llc_setstride2097152_ways6_raw.csv
2097152,7,1000000,64,64000000,12.945025312,12.781250000,9.497952745,12.781250000,12.812500000,12.750000000,12.843750000,12.437500000,1059.203125000,62068,12345,upgrade_assoc_llc_setstride2097152_ways7_raw.csv
2097152,8,1000000,64,64000000,13.484868188,13.281250000,10.969330775,13.250000000,13.296875000,13.218750000,13.515625000,12.281250000,994.546875000,67191,12345,upgrade_assoc_llc_setstride2097152_ways8_raw.csv
2097152,9,1000000,64,64000000,17.742180109,17.531250000,11.095723323,17.500000000,17.562500000,17.468750000,17.609375000,17.031250000,1344.703125000,27225,12345,upgrade_assoc_llc_setstride2097152_ways9_raw.csv
2097152,10,1000000,64,64000000,17.776104563,17.531250000,12.066889971,17.500000000,17.562500000,17.468750000,17.609375000,17.171875000,1063.171875000,41918,12345,upgrade_assoc_llc_setstride2097152_ways10_raw.csv
2097152,11,1000000,64,64000000,17.817075969,17.531250000,15.273925648,17.500000000,17.562500000,17.468750000,17.671875000,17.296875000,8507.968750000,50322,12345,upgrade_assoc_llc_setstride2097152_ways11_raw.csv
2097152,12,1000000,64,64000000,17.855255734,17.531250000,13.669382071,17.500000000,17.562500000,17.468750000,17.890625000,17.328125000,1054.843750000,58882,12345,upgrade_assoc_llc_setstride2097152_ways12_raw.csv
2097152,13,1000000,64,64000000,17.833930328,17.546875000,12.226175504,17.515625000,17.578125000,17.468750000,17.953125000,17.187500000,1246.218750000,144392,12345,upgrade_assoc_llc_setstride2097152_ways13_raw.csv
2097152,14,1000000,64,64000000,17.758753953,17.531250000,11.282670051,17.500000000,17.562500000,17.468750000,17.625000000,17.281250000,1074.171875000,38178,12345,upgrade_assoc_llc_setstride2097152_ways14_raw.csv
2097152,15,1000000,64,64000000,17.869728359,17.546875000,11.763461088,17.515625000,17.875000000,17.468750000,17.968750000,17.343750000,976.531250000,5732,12345,upgrade_assoc_llc_setstride2097152_ways15_raw.csv
2097152,16,1000000,64,64000000,17.734553531,17.531250000,10.578209064,17.500000000,17.562500000,17.468750000,17.625000000,17.171875000,1046.968750000,45990,12345,upgrade_assoc_llc_setstride2097152_ways16_raw.csv
2097152,17,1000000,64,64000000,17.759755063,17.531250000,11.331696798,17.500000000,17.562500000,17.468750000,17.625000000,17.343750000,961.171875000,36709,12345,upgrade_assoc_llc_setstride2097152_ways17_raw.csv
2097152,18,1000000,64,64000000,17.810816688,17.546875000,10.150162132,17.515625000,17.875000000,17.468750000,17.968750000,17.343750000,3410.078125000,6788,12345,upgrade_assoc_llc_setstride2097152_ways18_raw.csv
2097152,19,1000000,64,64000000,17.861703984,17.546875000,11.406160433,17.515625000,17.875000000,17.468750000,17.968750000,17.375000000,1147.062500000,7568,12345,upgrade_assoc_llc_setstride2097152_ways19_raw.csv
2097152,20,1000000,64,64000000,20.210281563,19.953125000,14.300190633,19.750000000,20.062500000,19.593750000,20.343750000,19.187500000,6415.578125000,16978,12345,upgrade_assoc_llc_setstride2097152_ways20_raw.csv
2097152,21,1000000,64,64000000,22.937992250,22.578125000,14.936163039,22.296875000,22.859375000,21.921875000,23.296875000,21.281250000,1081.828125000,7654,12345,upgrade_assoc_llc_setstride2097152_ways21_raw.csv
2097152,22,1000000,64,64000000,22.560505141,22.218750000,15.468133171,21.984375000,22.453125000,21.656250000,22.796875000,19.578125000,5673.843750000,20273,12345,upgrade_assoc_llc_setstride2097152_ways22_raw.csv
2097152,23,1000000,64,64000000,24.413231406,24.312500000,15.146436797,23.296875000,24.578125000,22.671875000,24.937500000,21.937500000,1054.812500000,2061,12345,upgrade_assoc_llc_setstride2097152_ways23_raw.csv
2097152,24,1000000,64,64000000,25.427491609,24.968750000,17.178602885,24.656250000,25.375000000,24.359375000,25.890625000,24.031250000,6926.140625000,6019,12345,upgrade_assoc_llc_setstride2097152_ways24_raw.csv
