mode,requested_bytes,actual_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
random,4194304,4194304,524288,1000000,64,64000000,37.026539094,36.546875000,16.571668557,35.984375000,37.093750000,35.140625000,38.000000000,32.562500000,1295.328125000,31578,12345,upgrade_capacity_coarse_4194304_random_raw.csv
random,131072,131072,16384,1000000,64,64000000,11.800017828,11.531250000,12.224899565,11.171875000,11.906250000,10.703125000,12.593750000,9.984375000,1294.703125000,16875,12345,upgrade_capacity_coarse_131072_random_raw.csv
random,16384,16384,2048,1000000,64,64000000,7.206635906,7.140625000,4.559512992,7.078125000,7.281250000,6.968750000,7.359375000,6.640625000,1189.078125000,7510,12345,upgrade_capacity_coarse_16384_random_raw.csv
random,67108864,67108864,8388608,1000000,64,64000000,210.018021922,207.156250000,49.702998988,198.609375000,215.812500000,188.093750000,225.921875000,153.562500000,17177.812500000,9117,12345,upgrade_capacity_coarse_67108864_random_raw.csv
random,8192,8192,1024,1000000,64,64000000,7.193675547,7.140625000,4.586836709,7.062500000,7.265625000,6.953125000,7.343750000,6.593750000,1244.484375000,6897,12345,upgrade_capacity_coarse_8192_random_raw.csv
random,262144,262144,32768,1000000,64,64000000,16.088616922,15.906250000,8.576445674,15.171875000,16.687500000,14.234375000,17.875000000,11.953125000,1267.656250000,8873,12345,upgrade_capacity_coarse_262144_random_raw.csv
random,16777216,16777216,2097152,1000000,64,64000000,112.695671906,110.359375000,34.541914403,101.640625000,120.250000000,90.625000000,135.671875000,54.750000000,9772.062500000,10921,12345,upgrade_capacity_coarse_16777216_random_raw.csv
random,524288,524288,65536,1000000,64,64000000,25.796255078,25.406250000,15.631928457,24.437500000,26.390625000,23.109375000,27.765625000,19.421875000,1201.062500000,5580,12345,upgrade_capacity_coarse_524288_random_raw.csv
random,33554432,33554432,4194304,1000000,64,64000000,175.329985359,173.000000000,40.121863061,163.734375000,182.812500000,151.703125000,195.921875000,116.343750000,7901.125000000,8286,12345,upgrade_capacity_coarse_33554432_random_raw.csv
random,2097152,2097152,262144,1000000,64,64000000,35.252703109,34.671875000,19.357033083,34.000000000,35.359375000,33.000000000,36.296875000,30.140625000,1222.093750000,9651,12345,upgrade_capacity_coarse_2097152_random_raw.csv
random,4096,4096,512,1000000,64,64000000,7.214051953,7.156250000,4.897829236,7.078125000,7.281250000,6.968750000,7.359375000,6.656250000,1263.125000000,7193,12345,upgrade_capacity_coarse_4096_random_raw.csv
random,8388608,8388608,1048576,1000000,64,64000000,47.104061219,45.359375000,27.951380400,42.750000000,48.703125000,39.953125000,58.187500000,35.859375000,14728.515625000,53364,12345,upgrade_capacity_coarse_8388608_random_raw.csv
random,65536,65536,8192,1000000,64,64000000,9.941246516,9.828125000,8.222015623,9.625000000,10.046875000,9.265625000,10.390625000,8.750000000,1281.171875000,13539,12345,upgrade_capacity_coarse_65536_random_raw.csv
random,32768,32768,4096,1000000,64,64000000,7.414780016,7.281250000,8.787489603,7.156250000,7.421875000,6.984375000,7.625000000,6.640625000,1242.390625000,13354,12345,upgrade_capacity_coarse_32768_random_raw.csv
random,1048576,1048576,131072,1000000,64,64000000,32.186343234,31.796875000,18.500822697,30.953125000,32.593750000,29.734375000,33.718750000,25.750000000,9307.093750000,10600,12345,upgrade_capacity_coarse_1048576_random_raw.csv
