stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
56,2097152,2097144,37449,1000000,64,64000000,37.484617937,36.906250000,17.176588508,36.234375000,37.562500000,35.265625000,38.828125000,31.484375000,1341.875000000,35601,12345,upgrade_dense_knee3_stride56_footprint2097144_raw.csv
56,4194304,4194288,74898,1000000,64,64000000,39.423558625,37.406250000,24.396822199,36.375000000,38.359375000,35.453125000,47.515625000,32.781250000,6010.484375000,82352,12345,upgrade_dense_knee3_stride56_footprint4194288_raw.csv
56,8388608,8388576,149796,1000000,64,64000000,72.420487578,51.484375000,49.734346488,45.812500000,74.937500000,41.562500000,175.250000000,36.593750000,5747.109375000,149599,12345,upgrade_dense_knee3_stride56_footprint8388576_raw.csv
56,16777216,16777208,299593,1000000,64,64000000,169.150077297,158.125000000,52.787358481,142.171875000,188.187500000,125.921875000,231.281250000,89.109375000,8648.718750000,12611,12345,upgrade_dense_knee3_stride56_footprint16777208_raw.csv
60,2097152,2097120,34952,1000000,64,64000000,38.524237781,37.531250000,18.166539379,36.750000000,38.296875000,35.546875000,40.281250000,32.843750000,1363.843750000,47673,12345,upgrade_dense_knee3_stride60_footprint2097120_raw.csv
60,4194304,4194300,69905,1000000,64,64000000,37.846641516,36.859375000,21.606851506,36.296875000,37.437500000,35.515625000,38.515625000,33.812500000,1323.921875000,30510,12345,upgrade_dense_knee3_stride60_footprint4194300_raw.csv
60,8388608,8388600,139810,1000000,64,64000000,46.980995578,44.937500000,23.924458659,42.250000000,48.375000000,39.390625000,58.609375000,36.109375000,5744.093750000,56855,12345,upgrade_dense_knee3_stride60_footprint8388600_raw.csv
60,16777216,16777200,279620,1000000,64,64000000,154.697294016,150.906250000,44.418836975,140.640625000,162.125000000,127.531250000,180.890625000,93.734375000,7731.968750000,24335,12345,upgrade_dense_knee3_stride60_footprint16777200_raw.csv
64,2097152,2097152,32768,1000000,64,64000000,35.402636516,34.890625000,18.391744058,34.343750000,35.390625000,33.531250000,36.156250000,31.359375000,1207.984375000,12093,12345,upgrade_dense_knee3_stride64_footprint2097152_raw.csv
64,4194304,4194304,65536,1000000,64,64000000,36.552990922,36.046875000,18.228056945,35.531250000,36.531250000,34.812500000,37.218750000,32.968750000,1357.578125000,10468,12345,upgrade_dense_knee3_stride64_footprint4194304_raw.csv
64,8388608,8388608,131072,1000000,64,64000000,46.017752453,44.203125000,22.433984606,41.562500000,47.531250000,38.828125000,57.109375000,35.921875000,7523.125000000,53919,12345,upgrade_dense_knee3_stride64_footprint8388608_raw.csv
64,16777216,16777216,262144,1000000,64,64000000,162.078241531,159.015625000,45.176433892,148.890625000,169.937500000,135.859375000,186.125000000,102.078125000,12599.859375000,12125,12345,upgrade_dense_knee3_stride64_footprint16777216_raw.csv
68,2097152,2097120,30840,1000000,64,64000000,36.506009250,36.000000000,17.929756070,35.390625000,36.609375000,34.500000000,37.531250000,32.468750000,1224.828125000,9915,12345,upgrade_dense_knee3_stride68_footprint2097120_raw.csv
68,4194304,4194240,61680,1000000,64,64000000,37.299588125,36.562500000,19.817384076,36.078125000,37.093750000,35.390625000,38.156250000,33.500000000,1340.890625000,40551,12345,upgrade_dense_knee3_stride68_footprint4194240_raw.csv
68,8388608,8388548,123361,1000000,64,64000000,50.355083266,48.171875000,25.381113263,44.796875000,52.484375000,41.000000000,63.734375000,36.546875000,11197.406250000,48035,12345,upgrade_dense_knee3_stride68_footprint8388548_raw.csv
68,16777216,16777164,246723,1000000,64,64000000,164.777782000,161.421875000,46.231080578,151.062500000,172.593750000,137.656250000,190.078125000,96.046875000,10717.703125000,17708,12345,upgrade_dense_knee3_stride68_footprint16777164_raw.csv
72,2097152,2097144,29127,1000000,64,64000000,35.625670938,35.078125000,21.372010587,34.531250000,35.625000000,33.750000000,36.421875000,30.562500000,10758.640625000,11254,12345,upgrade_dense_knee3_stride72_footprint2097144_raw.csv
72,4194304,4194288,58254,1000000,64,64000000,36.281838953,35.703125000,18.801923288,35.296875000,36.125000000,34.703125000,36.828125000,32.750000000,1236.703125000,16556,12345,upgrade_dense_knee3_stride72_footprint4194288_raw.csv
72,8388608,8388576,116508,1000000,64,64000000,41.160380844,39.640625000,22.542147221,38.812500000,41.218750000,37.890625000,44.953125000,35.328125000,5667.640625000,52352,12345,upgrade_dense_knee3_stride72_footprint8388576_raw.csv
72,16777216,16777152,233016,1000000,64,64000000,153.625569344,150.484375000,43.702785385,140.187500000,161.750000000,126.921875000,179.250000000,84.421875000,10902.453125000,15273,12345,upgrade_dense_knee3_stride72_footprint16777152_raw.csv
