stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8,8192,8192,1024,1000000,64,64000000,7.059330953,6.984375000,5.278213880,6.921875000,7.031250000,6.812500000,7.328125000,6.453125000,891.578125000,136992,12345,upgrade_line_l1_stride8_footprint8192_raw.csv
8,16384,16384,2048,1000000,64,64000000,6.945722500,6.843750000,6.893021289,6.828125000,6.890625000,6.796875000,7.000000000,6.359375000,893.125000000,61293,12345,upgrade_line_l1_stride8_footprint16384_raw.csv
8,32768,32768,4096,1000000,64,64000000,7.140510547,7.046875000,8.951819051,6.953125000,7.125000000,6.828125000,7.281250000,6.515625000,5635.765625000,17386,12345,upgrade_line_l1_stride8_footprint32768_raw.csv
8,65536,65536,8192,1000000,64,64000000,9.495956984,9.390625000,8.774613970,9.187500000,9.562500000,8.875000000,9.828125000,8.218750000,896.906250000,11438,12345,upgrade_line_l1_stride8_footprint65536_raw.csv
16,8192,8192,512,1000000,64,64000000,7.036576578,6.859375000,9.369188470,6.828125000,6.906250000,6.796875000,7.171875000,6.328125000,1178.000000000,145944,12345,upgrade_line_l1_stride16_footprint8192_raw.csv
16,16384,16384,1024,1000000,64,64000000,6.967255984,6.843750000,8.160924441,6.828125000,6.875000000,6.796875000,6.953125000,6.296875000,1034.218750000,66601,12345,upgrade_line_l1_stride16_footprint16384_raw.csv
16,32768,32768,2048,1000000,64,64000000,7.281742937,7.109375000,10.036765254,7.015625000,7.218750000,6.875000000,7.375000000,6.484375000,1030.218750000,15495,12345,upgrade_line_l1_stride16_footprint32768_raw.csv
16,65536,65536,4096,1000000,64,64000000,9.710332672,9.609375000,8.972291887,9.390625000,9.781250000,9.093750000,9.984375000,8.625000000,902.093750000,5303,12345,upgrade_line_l1_stride16_footprint65536_raw.csv
32,8192,8192,256,1000000,64,64000000,7.022997687,6.984375000,5.292796909,6.859375000,7.015625000,6.812500000,7.156250000,6.265625000,891.515625000,11936,12345,upgrade_line_l1_stride32_footprint8192_raw.csv
32,16384,16384,512,1000000,64,64000000,6.970112266,6.859375000,5.734706344,6.828125000,6.921875000,6.796875000,7.312500000,6.328125000,840.296875000,75725,12345,upgrade_line_l1_stride32_footprint16384_raw.csv
32,32768,32768,1024,1000000,64,64000000,7.423033688,7.312500000,8.023853907,7.156250000,7.453125000,6.968750000,7.687500000,6.609375000,1137.531250000,10722,12345,upgrade_line_l1_stride32_footprint32768_raw.csv
32,65536,65536,2048,1000000,64,64000000,10.353207344,10.203125000,9.750737232,10.015625000,10.359375000,9.734375000,10.703125000,9.328125000,1038.343750000,5645,12345,upgrade_line_l1_stride32_footprint65536_raw.csv
64,8192,8192,128,1000000,64,64000000,7.024513531,6.968750000,6.738042356,6.859375000,7.000000000,6.812500000,7.031250000,6.390625000,1072.875000000,10854,12345,upgrade_line_l1_stride64_footprint8192_raw.csv
64,16384,16384,256,1000000,64,64000000,6.950559875,6.828125000,7.653610330,6.828125000,6.859375000,6.796875000,6.984375000,6.296875000,1041.015625000,95094,12345,upgrade_line_l1_stride64_footprint16384_raw.csv
64,32768,32768,512,1000000,64,64000000,7.408418906,7.312500000,6.629178128,7.218750000,7.421875000,7.109375000,7.578125000,6.796875000,1027.093750000,11262,12345,upgrade_line_l1_stride64_footprint32768_raw.csv
64,65536,65536,1024,1000000,64,64000000,11.754866297,11.484375000,11.372747905,11.437500000,11.687500000,11.359375000,11.750000000,10.875000000,1211.796875000,6599,12345,upgrade_line_l1_stride64_footprint65536_raw.csv
128,8192,8192,64,1000000,64,64000000,6.965626563,6.843750000,7.243574881,6.828125000,6.859375000,6.796875000,7.156250000,6.328125000,1037.390625000,161460,12345,upgrade_line_l1_stride128_footprint8192_raw.csv
128,16384,16384,128,1000000,64,64000000,6.925801391,6.828125000,7.053790694,6.828125000,6.859375000,6.796875000,6.890625000,6.296875000,940.828125000,60245,12345,upgrade_line_l1_stride128_footprint16384_raw.csv
128,32768,32768,256,1000000,64,64000000,7.389764203,7.312500000,6.319681954,7.203125000,7.406250000,7.125000000,7.515625000,6.703125000,772.031250000,6700,12345,upgrade_line_l1_stride128_footprint32768_raw.csv
128,65536,65536,512,1000000,64,64000000,11.655911469,11.468750000,8.665377257,11.421875000,11.671875000,11.359375000,11.734375000,10.296875000,1326.921875000,5468,12345,upgrade_line_l1_stride128_footprint65536_raw.csv
256,8192,8192,32,1000000,64,64000000,6.949623797,6.843750000,9.938526723,6.828125000,6.859375000,6.796875000,7.015625000,6.296875000,7247.718750000,168358,12345,upgrade_line_l1_stride256_footprint8192_raw.csv
256,16384,16384,64,1000000,64,64000000,6.932720594,6.828125000,7.326366436,6.828125000,6.859375000,6.796875000,6.890625000,6.296875000,843.937500000,50073,12345,upgrade_line_l1_stride256_footprint16384_raw.csv
256,32768,32768,128,1000000,64,64000000,7.348000375,7.250000000,8.034177098,7.125000000,7.296875000,7.078125000,7.468750000,6.796875000,1048.953125000,21124,12345,upgrade_line_l1_stride256_footprint32768_raw.csv
256,65536,65536,256,1000000,64,64000000,11.645577219,11.453125000,10.355187162,11.437500000,11.484375000,11.406250000,11.687500000,11.015625000,1060.375000000,74214,12345,upgrade_line_l1_stride256_footprint65536_raw.csv
512,8192,8192,16,1000000,64,64000000,6.916224141,6.828125000,6.549196697,6.828125000,6.859375000,6.796875000,6.890625000,6.265625000,851.171875000,43381,12345,upgrade_line_l1_stride512_footprint8192_raw.csv
512,16384,16384,32,1000000,64,64000000,6.927709547,6.828125000,7.224406105,6.828125000,6.859375000,6.796875000,6.890625000,6.328125000,1037.609375000,45901,12345,upgrade_line_l1_stride512_footprint16384_raw.csv
512,32768,32768,64,1000000,64,64000000,8.083011109,7.906250000,8.683313086,7.875000000,7.937500000,7.843750000,8.500000000,7.343750000,886.265625000,112414,12345,upgrade_line_l1_stride512_footprint32768_raw.csv
512,65536,65536,128,1000000,64,64000000,11.614376328,11.453125000,10.164664249,11.421875000,11.468750000,11.375000000,11.500000000,10.890625000,1037.046875000,52284,12345,upgrade_line_l1_stride512_footprint65536_raw.csv
