stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8,2097152,2097152,262144,1000000,64,64000000,33.995327984,33.625000000,14.795142305,33.000000000,34.250000000,32.031250000,35.203125000,29.843750000,1061.359375000,13647,12345,upgrade_line_llc_stride8_footprint2097152_raw.csv
8,4194304,4194304,524288,1000000,64,64000000,35.421697484,34.984375000,17.183262730,34.515625000,35.453125000,33.781250000,36.109375000,31.656250000,5694.093750000,13890,12345,upgrade_line_llc_stride8_footprint4194304_raw.csv
8,8388608,8388608,1048576,1000000,64,64000000,43.265679844,41.750000000,18.921299496,39.640625000,44.421875000,37.937500000,50.984375000,34.625000000,1203.359375000,45784,12345,upgrade_line_llc_stride8_footprint8388608_raw.csv
8,16777216,16777216,2097152,1000000,64,64000000,104.464243125,102.015625000,33.082911992,93.484375000,111.843750000,82.796875000,127.671875000,56.140625000,6320.875000000,12352,12345,upgrade_line_llc_stride8_footprint16777216_raw.csv
16,2097152,2097152,131072,1000000,64,64000000,34.420835453,33.921875000,18.736602268,33.281250000,34.546875000,32.359375000,35.484375000,28.750000000,5625.578125000,13243,12345,upgrade_line_llc_stride16_footprint2097152_raw.csv
16,4194304,4194304,262144,1000000,64,64000000,35.711430562,35.109375000,16.432767167,34.609375000,35.578125000,33.890625000,36.359375000,31.843750000,1102.390625000,30394,12345,upgrade_line_llc_stride16_footprint4194304_raw.csv
16,8388608,8388608,524288,1000000,64,64000000,43.720839672,42.156250000,18.387617933,40.031250000,44.921875000,38.062500000,52.078125000,35.203125000,1354.484375000,48807,12345,upgrade_line_llc_stride16_footprint8388608_raw.csv
16,16777216,16777216,1048576,1000000,64,64000000,111.472538141,108.468750000,35.942953110,99.359375000,119.062500000,88.125000000,136.828125000,60.265625000,7773.203125000,17902,12345,upgrade_line_llc_stride16_footprint16777216_raw.csv
32,2097152,2097152,65536,1000000,64,64000000,34.591211672,34.140625000,16.873982030,33.531250000,34.734375000,32.687500000,35.578125000,30.640625000,1096.390625000,7522,12345,upgrade_line_llc_stride32_footprint2097152_raw.csv
32,4194304,4194304,131072,1000000,64,64000000,35.779897938,35.328125000,17.150602421,34.890625000,35.796875000,34.171875000,36.515625000,31.937500000,5594.953125000,16898,12345,upgrade_line_llc_stride32_footprint4194304_raw.csv
32,8388608,8388608,262144,1000000,64,64000000,45.164919469,43.421875000,20.931670959,41.000000000,46.703125000,38.484375000,55.312500000,35.390625000,5845.921875000,50409,12345,upgrade_line_llc_stride32_footprint8388608_raw.csv
32,16777216,16777216,524288,1000000,64,64000000,125.891535828,123.078125000,37.484401068,113.578125000,133.781250000,101.453125000,150.593750000,71.031250000,5843.468750000,13802,12345,upgrade_line_llc_stride32_footprint16777216_raw.csv
64,2097152,2097152,32768,1000000,64,64000000,35.483168703,34.953125000,18.527481818,34.421875000,35.484375000,33.656250000,36.265625000,31.703125000,1330.125000000,8950,12345,upgrade_line_llc_stride64_footprint2097152_raw.csv
64,4194304,4194304,65536,1000000,64,64000000,36.108721922,35.625000000,17.870349640,35.234375000,36.015625000,34.625000000,36.593750000,33.093750000,5605.859375000,20110,12345,upgrade_line_llc_stride64_footprint4194304_raw.csv
