mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
assoc,1,1048576,4096,1000000,84804587.0,5304607,7000045,30,0,5000016,70,0,0,157,3,0,0.000000,0.000014,-1.000000
assoc,2,1048576,4096,1000000,58495936.0,5409217,7000046,16,0,5000016,163,4,0,56,1,0,0.000000,0.000033,0.000000
assoc,3,1048576,4096,1000000,57545759.0,5335208,7000046,15,0,5000016,58,2,0,116,5,0,0.000000,0.000012,0.000000
assoc,4,1048576,4096,1000000,57748874.0,5402052,7000046,23,1,5000015,68,0,0,39,0,0,0.043478,0.000014,-1.000000
assoc,5,1048576,4096,1000000,58512041.0,5371531,7000046,11,0,5000016,118,3,0,73,1,0,0.000000,0.000024,0.000000
assoc,6,1048576,4096,1000000,59035985.0,5286599,7000046,6,0,5000016,169,0,0,230,2,0,0.000000,0.000034,-1.000000
assoc,7,1048576,4096,1000000,57833728.0,5312395,7000046,6,1,5000016,24,1,0,44,1,0,0.166667,0.000005,0.000000
assoc,8,1048576,4096,1000000,55193649.0,9047036,7000048,8,0,5000017,42,1,0,27,1,0,0.000000,0.000008,0.000000
assoc,9,1048576,4096,1000000,57750557.0,9990258,7000048,8,0,5000017,49,1,0,29,1,0,0.000000,0.000010,0.000000
assoc,10,1048576,4096,1000000,58676364.0,8745283,7000047,6,0,5000018,57,1,0,36,1,0,0.000000,0.000011,0.000000
assoc,11,1048576,4096,1000000,54456816.0,6276287,7000046,8,0,5000016,105,1,0,3245,1,0,0.000000,0.000021,0.000000
assoc,12,1048576,4096,1000000,55873230.0,9909188,7000048,8,0,5000017,62,1,0,47,1,0,0.000000,0.000012,0.000000
assoc,14,1048576,4096,1000000,78495641.0,16050874,7000052,13,0,5000021,1000016,0,0,999728,4,0,0.000000,0.200002,-1.000000
assoc,16,1048576,4096,1000000,77772895.0,16015645,7000051,14,0,5000022,1000006,1,0,999847,1,0,0.000000,0.200000,0.000000
assoc,13,1048576,4096,1000000,93744099.0,15984951,7000051,6,0,5000021,991003,1,0,993537,0,0,0.000000,0.198200,0.000000
