mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
assoc,1,1048576,4096,1000000,16368994.0,5409525,7000068,0,0,5000019,6,0,0,-1,-1,0,-1.000000,0.000001,-1.000000
assoc,2,1048576,4096,1000000,4949660.0,5013701,7000065,0,0,5000018,7,0,0,-1,-1,0,-1.000000,0.000001,-1.000000
assoc,3,1048576,4096,1000000,4685810.0,5007238,7000064,0,0,5000018,4,0,0,-1,-1,0,-1.000000,0.000001,-1.000000
assoc,4,1048576,4096,1000000,4714492.0,5001850,7000064,0,0,5000019,8,0,0,-1,-1,0,-1.000000,0.000002,-1.000000
assoc,5,1048576,4096,1000000,4738196.0,5005212,7000064,2,0,5000018,9,0,0,-1,-1,0,0.000000,0.000002,-1.000000
assoc,6,1048576,4096,1000000,4712918.0,5003321,7000065,0,0,5000018,5,0,0,-1,-1,0,-1.000000,0.000001,-1.000000
assoc,7,1048576,4096,1000000,11233493.0,12002881,7000066,0,0,5000020,27,0,0,-1,-1,0,-1.000000,0.000005,-1.000000
assoc,8,1048576,4096,1000000,11164281.0,12004744,7000066,4,0,5000020,45,0,0,-1,-1,0,0.000000,0.000009,-1.000000
assoc,9,1048576,4096,1000000,11200211.0,12007479,7000066,0,0,5000019,36,0,0,-1,-1,0,-1.000000,0.000007,-1.000000
assoc,10,1048576,4096,1000000,9402108.0,10180592,7000065,0,0,5000020,125,0,0,-1,-1,0,-1.000000,0.000025,-1.000000
assoc,11,1048576,4096,1000000,11135874.0,12004901,7000065,0,0,5000020,196,0,0,-1,-1,0,-1.000000,0.000039,-1.000000
assoc,12,1048576,4096,1000000,11206077.0,12014231,7000066,0,0,5000019,400,0,0,-1,-1,0,-1.000000,0.000080,-1.000000
assoc,14,1048576,4096,1000000,20253115.0,22009187,7000068,0,0,5000022,999936,0,0,-1,-1,0,-1.000000,0.199986,-1.000000
assoc,16,1048576,4096,1000000,20372140.0,22007580,7000069,0,0,5000022,1000007,1,0,-1,-1,0,-1.000000,0.200001,0.000000
