mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
assoc,1,1048576,4096,1000000,19328771.0,8377768,7000045,92,0,6000227,2,-1,-1,-1,-1,0,0.000000,0.000000,-1.000000
assoc,2,1048576,4096,1000000,7724792.0,8375830,7000046,54,1,6000318,6,-1,-1,-1,-1,0,0.018519,0.000001,-1.000000
assoc,3,1048576,4096,1000000,7834687.0,8379171,7000046,71,2,6000229,13,-1,-1,-1,-1,0,0.028169,0.000002,-1.000000
assoc,4,1048576,4096,1000000,7740130.0,8373684,7000045,71,1,6000223,12,-1,-1,-1,-1,0,0.014085,0.000002,-1.000000
assoc,5,1048576,4096,1000000,7735632.0,8370798,7000046,62,1,6000331,31,-1,-1,-1,-1,0,0.016129,0.000005,-1.000000
assoc,6,1048576,4096,1000000,7722818.0,8364838,7000046,102,1,6000323,29,-1,-1,-1,-1,0,0.009804,0.000005,-1.000000
assoc,7,1048576,4096,1000000,7742485.0,8373471,7000045,114,1,6000231,25,-1,-1,-1,-1,0,0.008772,0.000004,-1.000000
assoc,8,1048576,4096,1000000,7802838.0,8374786,7000046,106,4,6000325,32,-1,-1,-1,-1,0,0.037736,0.000005,-1.000000
assoc,9,1048576,4096,1000000,22672832.0,25003622,7000050,1000209,7,6000723,966928,-1,-1,-1,-1,0,0.000007,0.161135,-1.000000
assoc,10,1048576,4096,1000000,12176376.0,13200501,7000047,1000142,2,6000422,1000007,-1,-1,-1,-1,0,0.000002,0.166656,-1.000000
assoc,11,1048576,4096,1000000,24926731.0,27329291,7000052,941256,511517,6000811,919475,-1,-1,-1,-1,0,0.543441,0.153225,-1.000000
assoc,12,1048576,4096,1000000,27576137.0,30649885,7000053,1000254,591240,6000905,1000010,-1,-1,-1,-1,0,0.591090,0.166643,-1.000000
assoc,14,1048576,4096,1000000,34680524.0,37854569,7000055,976547,833340,6001202,999660,-1,-1,-1,-1,0,0.853354,0.166577,-1.000000
assoc,16,1048576,4096,1000000,36051167.0,39568990,7000055,1000381,875006,6001203,1000018,-1,-1,-1,-1,0,0.874673,0.166636,-1.000000
