mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
assoc,1,1048576,4096,1000000,33042027.0,10005542,7000049,2,0,5000046,11,3,0,-1,-1,0,0.000000,0.000002,0.000000
assoc,2,1048576,4096,1000000,20997492.0,10003547,7000048,20,0,5000041,11,2,0,-1,-1,0,0.000000,0.000002,0.000000
assoc,3,1048576,4096,1000000,19259296.0,10003129,7000047,9,0,5000034,20,1,0,-1,-1,0,0.000000,0.000004,0.000000
assoc,4,1048576,4096,1000000,19472983.0,10009037,7000049,8,0,5000034,25,2,0,-1,-1,0,0.000000,0.000005,0.000000
assoc,5,1048576,4096,1000000,19255982.0,10004175,7000048,6,0,5000030,27,1,0,-1,-1,0,0.000000,0.000005,0.000000
assoc,6,1048576,4096,1000000,19464803.0,10004277,7000048,36,0,5000037,38,2,0,-1,-1,0,0.000000,0.000008,0.000000
assoc,7,1048576,4096,1000000,19262174.0,10004481,7000048,24,0,5000034,40,6,0,-1,-1,0,0.000000,0.000008,0.000000
assoc,8,1048576,4096,1000000,19480624.0,10004236,7000048,25,0,5000055,61,4,0,-1,-1,0,0.000000,0.000012,0.000000
assoc,9,1048576,4096,1000000,23095374.0,11973822,7000048,33,0,5000050,278447,13,0,-1,-1,0,0.000000,0.055689,0.000000
assoc,10,1048576,4096,1000000,31373228.0,17142619,7000051,74,0,5000062,1000018,19,0,-1,-1,0,0.000000,0.200001,0.000000
assoc,11,1048576,4096,1000000,76068479.0,44273016,7000062,891711,0,5000137,1000031,909092,0,-1,-1,0,0.000000,0.200001,0.000000
assoc,12,1048576,4096,1000000,76322194.0,47516793,7000062,916671,0,5000128,1000033,916667,0,-1,-1,0,0.000000,0.200001,0.000000
assoc,13,1048576,4096,1000000,75620863.0,47320354,7000062,923079,0,5000122,984676,923079,0,-1,-1,0,0.000000,0.196930,0.000000
assoc,14,1048576,4096,1000000,71437358.0,43925810,7000060,857146,0,5000122,1000029,824339,0,-1,-1,0,0.000000,0.200001,0.000000
assoc,16,1048576,4096,1000000,72199012.0,45012739,7000062,875004,0,5000122,985034,875001,0,-1,-1,0,0.000000,0.197002,0.000000
